"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",31.85,31.9,29.9,30.35,3619600,18.401299,2015-01-02,"BBSE3.SA",NA,NA
"2",30.34,30.4,28.98,29.440001,4337500,17.849566,2015-01-05,"BBSE3.SA",-0.0299833723695269,-0.029983492586491
"3",29.450001,30.690001,29.389999,30.690001,5199200,18.607443,2015-01-06,"BBSE3.SA",0.0424591275776678,0.0424592376882051
"4",30.83,30.99,29.83,30.200001,7372400,18.310354,2015-01-07,"BBSE3.SA",-0.0159661378513963,-0.0159661122200679
"5",30.59,30.59,29.549999,30.110001,5638900,18.255787,2015-01-08,"BBSE3.SA",-0.00298011715120305,-0.00298013235165129
"6",29.879999,30.15,29,29.129999,5022100,17.66161,2015-01-09,"BBSE3.SA",-0.0325473232131818,-0.032547391811777
"7",29.15,30.139999,28.889999,29.799999,7234800,18.067833,2015-01-12,"BBSE3.SA",0.0230003380212789,0.0230003440782816
"8",29.85,30.370001,29.18,29.18,4740100,17.691925,2015-01-13,"BBSE3.SA",-0.0208053727306423,-0.0208053362686355
"9",29.02,29.309999,28.35,28.68,6425000,17.388775,2015-01-14,"BBSE3.SA",-0.0171349358535039,-0.0171350239890335
"10",28.6,29.459999,28.6,29.25,6330400,17.734367,2015-01-15,"BBSE3.SA",0.0198744304874841,0.0198744769874477
"11",29,30.540001,29,30.299999,3972700,18.370983,2015-01-16,"BBSE3.SA",0.0358973060611636,0.0358974017094016
"12",30.1,30.370001,29.49,29.6,3533900,17.946571,2015-01-19,"BBSE3.SA",-0.0231023021468149,-0.0231022779901742
"13",30.15,30.18,29.01,29.17,2935200,17.685862,2015-01-20,"BBSE3.SA",-0.0145269533661889,-0.014527027027027
"14",29.25,30.690001,29.25,30.35,3975800,18.401299,2015-01-21,"BBSE3.SA",0.0404524811965625,0.0404525197120329
"15",30.540001,31,29.450001,30.42,4900000,18.443741,2015-01-22,"BBSE3.SA",0.00230646760318365,0.00230642504118617
"16",29.959999,30.25,29.75,30.15,3927700,18.280039,2015-01-23,"BBSE3.SA",-0.00887574814675618,-0.00887573964497057
"17",29.809999,30.360001,29.610001,29.969999,4210800,18.170906,2015-01-26,"BBSE3.SA",-0.00597006384942611,-0.00597018242122715
"18",29.799999,30.1,28.870001,29.58,3849700,17.934444,2015-01-27,"BBSE3.SA",-0.013013220144334,-0.0130129800805133
"19",29.200001,29.379999,28.780001,28.91,5159300,17.528225,2015-01-28,"BBSE3.SA",-0.0226502143027127,-0.0226504394861392
"20",28.85,29.57,28.51,29.52,4158400,17.898069,2015-01-29,"BBSE3.SA",0.0210999117138215,0.0210999654098927
"21",28.950001,29.790001,28.610001,29.790001,6339900,18.061771,2015-01-30,"BBSE3.SA",0.00914634981013873,0.00914637533875351
"22",29.799999,30.280001,29.690001,29.98,4256800,18.176966,2015-02-02,"BBSE3.SA",0.00637783526321978,0.00637794540523839
"23",30.389999,30.440001,29.969999,30.26,5564300,18.346733,2015-02-03,"BBSE3.SA",0.00933967747972897,0.00933955970647093
"24",30.35,30.469999,29.27,30.190001,4708100,18.304289,2015-02-04,"BBSE3.SA",-0.00231343640309145,-0.00231325181758102
"25",29.74,30.780001,29.74,30.139999,5497800,18.273975,2015-02-05,"BBSE3.SA",-0.00165611458604054,-0.00165624373447348
"26",29.82,30.18,28.860001,29.33,8553400,17.782871,2015-02-06,"BBSE3.SA",-0.0268745032211108,-0.0268745529819029
"27",29.219999,30.120001,28.91,30.049999,5283600,18.219406,2015-02-09,"BBSE3.SA",0.0245480608839821,0.0245482100238663
"28",30.49,30.68,29.02,29.309999,12976500,17.770746,2015-02-10,"BBSE3.SA",-0.0246253911900312,-0.0246256247795549
"29",29.309999,29.75,28.35,29.49,16143800,17.879879,2015-02-11,"BBSE3.SA",0.00614116030919587,0.0061412830481502
"30",29.5,30.49,29.459999,30.25,7004300,18.34067,2015-02-12,"BBSE3.SA",0.0257714831291644,0.0257714479484572
"31",29.700001,29.99,29.370001,29.99,5371300,18.667469,2015-02-13,"BBSE3.SA",0.0178182694525337,-0.00859504132231415
"32",30,30.66,29.969999,30.290001,3698300,18.85421,2015-02-18,"BBSE3.SA",0.0100035521687487,0.0100033677892633
"33",30.290001,31.959999,30.26,31.6,7672200,19.669626,2015-02-19,"BBSE3.SA",0.0432484840255838,0.043248562454653
"34",31.41,31.870001,31.15,31.84,2897400,19.819016,2015-02-20,"BBSE3.SA",0.00759495884670103,0.0075949367088608
"35",31.530001,32,31.280001,32,4041300,19.918608,2015-02-23,"BBSE3.SA",0.00502507288959242,0.00502512562814061
"36",31.950001,33.119999,31.58,32.669998,6411600,20.335655,2015-02-24,"BBSE3.SA",0.0209375574839366,0.0209374375
"37",32.23,33.080002,32.23,32.900002,6702200,20.478819,2015-02-25,"BBSE3.SA",0.00704004862395635,0.00704022081666489
"38",32.779999,33.200001,32.560001,33.060001,3272300,20.578415,2015-02-26,"BBSE3.SA",0.00486336638846208,0.00486319119372691
"39",32.880001,33.299999,32.009998,32.16,4703300,20.018202,2015-02-27,"BBSE3.SA",-0.0272233308541985,-0.0272232599146021
"40",32.099998,32.799999,32.009998,32.599998,2796300,20.292082,2015-03-02,"BBSE3.SA",0.0136815484227806,0.0136815298507464
"41",32.700001,32.959999,32.41,32.759998,9933600,20.391674,2015-03-03,"BBSE3.SA",0.00490792418441832,0.00490797576122559
"42",32.200001,32.310001,31.42,31.76,3661500,19.769218,2015-03-04,"BBSE3.SA",-0.030525007412339,-0.0305249713385208
"43",31.75,32.060001,31.139999,31.52,5914500,19.619827,2015-03-05,"BBSE3.SA",-0.00755674807167372,-0.00755667506297231
"44",31.49,31.629999,30.4,30.450001,5104200,18.953802,2015-03-06,"BBSE3.SA",-0.0339465276630625,-0.0339466687817259
"45",30.440001,30.5,29.700001,29.85,4369900,18.580328,2015-03-09,"BBSE3.SA",-0.0197044371361481,-0.0197044656911505
"46",29.16,30.33,29.15,29.950001,12036300,18.642572,2015-03-10,"BBSE3.SA",0.00334999468254815,0.00335011725293133
"47",29.9,30.700001,29.84,30.540001,11313700,19.009819,2015-03-11,"BBSE3.SA",0.0196993740992391,0.0196994985075292
"48",30.950001,30.99,29.610001,29.83,6170400,18.567881,2015-03-12,"BBSE3.SA",-0.0232478804769262,-0.0232482310658733
"49",29.209999,30.120001,29.209999,29.52,4009800,18.374918,2015-03-13,"BBSE3.SA",-0.0103923005538434,-0.0103922225947033
"50",29.709999,30.25,29.66,30.1,4736500,18.735941,2015-03-16,"BBSE3.SA",0.0196475978831578,0.0196476964769647
"51",30.059999,31.75,30.059999,31.540001,4389400,19.632277,2015-03-17,"BBSE3.SA",0.0478404580800078,0.0478405647840532
"52",31.32,32.73,31.1,32.669998,7685800,20.335655,2015-03-18,"BBSE3.SA",0.0358276322201445,0.0358274243555032
"53",32.5,32.790001,32.259998,32.720001,3462800,20.366777,2015-03-19,"BBSE3.SA",0.00153041542059995,0.00153054799697272
"54",32.900002,33.419998,32.470001,32.700001,4673400,20.354328,2015-03-20,"BBSE3.SA",-0.000611240551217307,-0.000611246925084186
"55",32.919998,33.189999,32.619999,32.799999,4388300,20.416571,2015-03-23,"BBSE3.SA",0.00305797371448491,0.00305804271993759
"56",33.080002,33.200001,32.029999,32.860001,5014600,20.45392,2015-03-24,"BBSE3.SA",0.00182934734730922,0.00182932932406477
"57",32.98,33.18,32.240002,32.759998,3181600,20.391674,2015-03-25,"BBSE3.SA",-0.00304323083301405,-0.00304330483739168
"58",32.560001,32.790001,31.16,31.719999,6608900,19.74432,2015-03-26,"BBSE3.SA",-0.031745995939323,-0.0317460031590967
"59",31.4,32.41,31.4,31.879999,4479400,19.843916,2015-03-27,"BBSE3.SA",0.00504428615419528,0.00504413635069789
"60",31.950001,33,31.85,32.849998,3393500,20.447693,2015-03-30,"BBSE3.SA",0.0304263029535099,0.0304265693358396
"61",32.599998,33.130001,32.43,32.869999,3797700,20.460142,2015-03-31,"BBSE3.SA",0.000608821738471876,0.000608858484557606
"62",33.009998,33.799999,32.919998,33.450001,3196600,20.821171,2015-04-01,"BBSE3.SA",0.0176454787068436,0.0176453306250481
"63",33.290001,34.919998,33.169998,34.470001,7395800,21.456076,2015-04-02,"BBSE3.SA",0.0304932417105648,0.0304932726309934
"64",35,35.990002,34.5,35.990002,6910300,22.402212,2015-04-06,"BBSE3.SA",0.0440964135287365,0.0440963433682522
"65",35.799999,36.470001,34.25,34.799999,9798000,21.661486,2015-04-07,"BBSE3.SA",-0.0330648598450902,-0.0330648217246555
"66",35.119999,35.389999,33.77,33.799999,11010700,21.039032,2015-04-08,"BBSE3.SA",-0.0287355170370122,-0.0287356330096447
"67",33.799999,34.290001,33.43,33.950001,2932700,21.132399,2015-04-09,"BBSE3.SA",0.00443779922954635,0.00443792912538243
"68",33.959999,35.5,33.830002,35.41,4725000,22.041185,2015-04-10,"BBSE3.SA",0.0430043933961306,0.0430043875403714
"69",34.990002,35.75,34.990002,35.32,4571700,21.985163,2015-04-13,"BBSE3.SA",-0.00254169637431012,-0.00254165489974578
"70",35.5,35.970001,34.459999,34.900002,6985000,21.72373,2015-04-14,"BBSE3.SA",-0.0118913378081391,-0.0118912231030578
"71",35.25,36.080002,35.02,36.009998,5428700,22.414656,2015-04-15,"BBSE3.SA",0.0318051273883444,0.0318050411573043
"72",36,36.700001,35.639999,36.189999,6399200,22.526701,2015-04-16,"BBSE3.SA",0.00499873832549547,0.00499863954449542
"73",35.509998,35.689999,35.049999,35.400002,3457200,22.034958,2015-04-17,"BBSE3.SA",-0.0218293393249194,-0.0218291523025463
"74",35.599998,35.599998,34.310001,35.02,2352100,21.798428,2015-04-20,"BBSE3.SA",-0.0107343068228221,-0.0107345191675412
"75",34.919998,36.029999,34.869999,35.490002,4261600,22.090982,2015-04-22,"BBSE3.SA",0.013420876037483,0.0134209594517416
"76",35.25,36.5,35.25,36.5,5184200,22.719664,2015-04-23,"BBSE3.SA",0.028458762041452,0.028458662808754
"77",36.509998,36.639999,36.029999,36.09,5474700,22.464458,2015-04-24,"BBSE3.SA",-0.0112328245699409,-0.0112328767123286
"78",35.919998,36.07,34.310001,34.48,6839900,21.462303,2015-04-27,"BBSE3.SA",-0.0446106912528227,-0.0446106954835136
"79",34.330002,35.150002,34.330002,35.029999,3627200,21.804653,2015-04-28,"BBSE3.SA",0.0159512238737847,0.015951247099768
"80",34.509998,34.900002,34.509998,34.66,2727900,21.574345,2015-04-29,"BBSE3.SA",-0.0105623327277897,-0.0105623468616143
"81",34.400002,35.299999,34.110001,35.189999,6571600,21.904245,2015-04-30,"BBSE3.SA",0.015291310118569,0.0152913733410271
"82",35.259998,35.490002,34.549999,35.110001,2848400,21.854446,2015-05-04,"BBSE3.SA",-0.00227348625802903,-0.00227331634763628
"83",34.869999,35.389999,34.73,35.139999,2590700,21.873121,2015-05-05,"BBSE3.SA",0.000854517199841309,0.000854400431375746
"84",35,35.970001,34.57,35.950001,4065500,22.377312,2015-05-06,"BBSE3.SA",0.023050711418823,0.0230507120959222
"85",36.48,36.869999,35.82,36.240002,9108800,22.557825,2015-05-07,"BBSE3.SA",0.00806678657382975,0.00806678698006147
"86",36.48,37.389999,36.32,37.380001,8280100,23.26742,2015-05-08,"BBSE3.SA",0.0314567118062137,0.0314569243125318
"87",37.099998,37.650002,37.099998,37.310001,9474900,23.223852,2015-05-11,"BBSE3.SA",-0.00187248951538244,-0.00187265912593204
"88",37.389999,37.490002,36.650002,36.759998,3947500,22.8815,2015-05-12,"BBSE3.SA",-0.0147413960440327,-0.0147414362170614
"89",36.689999,37.07,36.080002,36.330002,3665900,22.613842,2015-05-13,"BBSE3.SA",-0.0116975722745448,-0.0116973891021431
"90",36.450001,36.799999,35.84,36.290001,3710800,22.588945,2015-05-14,"BBSE3.SA",-0.00110096285275196,-0.00110104590690652
"91",36.060001,37.119999,36.060001,36.700001,2929600,22.844152,2015-05-15,"BBSE3.SA",0.0112978715916128,0.0112978778920398
"92",37,37.09,35.849998,35.93,4123900,22.364866,2015-05-18,"BBSE3.SA",-0.0209806868733846,-0.020980953106786
