"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",17.379999,17.66,17.16,17.41,2109800,11.112412,2015-01-02,"BRKM5.SA",NA,NA
"2",17.120001,17.200001,16.360001,16.360001,2156200,10.442221,2015-01-05,"BRKM5.SA",-0.0603101288901097,-0.0603101091326823
"3",16.459999,16.49,15.97,16.01,1224100,10.218822,2015-01-06,"BRKM5.SA",-0.0213938203376466,-0.0213937028487956
"4",16.049999,16.219999,15.65,16,1425200,10.21244,2015-01-07,"BRKM5.SA",-0.000624533825914431,-0.000624609618988248
"5",16.1,16.26,15.64,16.040001,1143500,10.23797,2015-01-08,"BRKM5.SA",0.00249989228822889,0.00250006250000001
"6",15.89,16.1,15.57,15.69,1892500,10.014574,2015-01-09,"BRKM5.SA",-0.0218203413371988,-0.0218205098615643
"7",15.72,15.99,15.59,15.99,1156900,10.206057,2015-01-12,"BRKM5.SA",0.0191204338796638,0.0191204588910134
"8",15.94,16.280001,15.72,15.82,2031000,10.097551,2015-01-13,"BRKM5.SA",-0.0106315298846558,-0.0106316447779863
"9",15.71,15.71,14.85,14.87,1780800,9.491186,2015-01-14,"BRKM5.SA",-0.0600506994220676,-0.0600505689001265
"10",14.97,15.55,14.96,14.97,2072300,9.555014,2015-01-15,"BRKM5.SA",0.00672497620423829,0.00672494956287828
"11",15.18,15.42,15,15.25,1191500,9.733732,2015-01-16,"BRKM5.SA",0.0187041065559925,0.0187040748162992
"12",15.1,15.12,14,14.07,1260900,8.980565,2015-01-19,"BRKM5.SA",-0.0773770019556733,-0.0773770491803278
"13",14.24,14.37,12.99,13.15,3918700,8.393349,2015-01-20,"BRKM5.SA",-0.0653874227289708,-0.0653873489694385
"14",13.25,13.33,12.78,13.12,2982900,8.374201,2015-01-21,"BRKM5.SA",-0.00228133013413379,-0.00228136882129282
"15",13.23,13.57,12.84,12.88,3799800,8.221015,2015-01-22,"BRKM5.SA",-0.0182926108413208,-0.0182926829268292
"16",13.23,13.57,12.11,12.13,2061200,7.742305,2015-01-23,"BRKM5.SA",-0.0582300360721881,-0.0582298136645962
"17",12,12.37,11.46,12.29,2377500,7.844432,2015-01-26,"BRKM5.SA",0.0131907745819881,0.0131904369332232
"18",12.28,12.49,11.77,12.23,1736900,7.806134,2015-01-27,"BRKM5.SA",-0.0048821890482319,-0.00488201790073217
"19",12.1,12.17,11.57,11.96,1910000,7.633799,2015-01-28,"BRKM5.SA",-0.0220768692927895,-0.0220768601798855
