"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",15.23,15.39,14.57,14.72,3321100,11.215433,2015-01-02,"CCRO3.SA",NA,NA
"2",14.53,15.08,14.25,14.3,6363100,10.895426,2015-01-05,"CCRO3.SA",-0.0285327369883981,-0.0285326086956522
"3",14.4,14.66,14.23,14.51,5363000,11.055429,2015-01-06,"CCRO3.SA",0.0146853367642532,0.0146853146853145
"4",14.57,15.79,14.56,15.6,11266900,11.885921,2015-01-07,"CCRO3.SA",0.0751207393218301,0.0751206064782908
"5",15.6,16,15.51,15.78,5775900,12.023065,2015-01-08,"CCRO3.SA",0.0115383570191996,0.0115384615384615
"6",15.69,15.78,15.49,15.55,4202700,11.847822,2015-01-09,"CCRO3.SA",-0.0145755678772426,-0.0145754119138148
"7",15.65,15.74,15.34,15.4,4672900,11.733536,2015-01-12,"CCRO3.SA",-0.0096461611256482,-0.00964630225080387
"8",15.4,16.299999,15.37,15.75,6626200,12.000208,2015-01-13,"CCRO3.SA",0.0227273347096733,0.0227272727272727
"9",15.6,16.18,15.51,16.059999,5505100,12.236402,2015-01-14,"CCRO3.SA",0.0196824921701357,0.0196824761904764
"10",16.030001,17.02,16.02,16.17,11037200,12.320212,2015-01-15,"CCRO3.SA",0.00684923558412032,0.00684937776148065
"11",16.209999,16.940001,16.200001,16.700001,7048200,12.724029,2015-01-16,"CCRO3.SA",0.0327767898799145,0.0327768089053802
"12",16.459999,16.700001,16.01,16.200001,3353600,12.343071,2015-01-19,"CCRO3.SA",-0.0299400449338806,-0.0299401179676576
"13",16.389999,16.6,16.16,16.219999,3073700,12.358307,2015-01-20,"CCRO3.SA",0.00123437676085625,0.00123444436824416
"14",16.27,16.870001,16.200001,16.6,7196400,12.647839,2015-01-21,"CCRO3.SA",0.0234281281408528,0.0234279299277391
"15",16.700001,16.870001,16.02,16.18,4856700,12.327832,2015-01-22,"CCRO3.SA",-0.0253013182726313,-0.0253012048192772
"16",16.700001,16.870001,15.82,16.25,4826500,12.381166,2015-01-23,"CCRO3.SA",0.0043263081456657,0.00432632880098893
"17",16.040001,16.07,15.52,15.8,5722700,12.038302,2015-01-26,"CCRO3.SA",-0.0276923837383329,-0.0276923076923077
"18",15.61,16.48,15.46,16.25,5238500,12.381166,2015-01-27,"CCRO3.SA",0.0284810930976811,0.0284810126582278
"19",16.190001,16.68,15.91,16.66,4858900,12.693553,2015-01-28,"CCRO3.SA",0.0252308223635802,0.0252307692307692
"20",16.469999,16.66,15.94,16.450001,7085800,12.53355,2015-01-29,"CCRO3.SA",-0.0126050602223033,-0.0126049819927971
"21",16.34,16.34,15.28,15.28,10589100,11.642106,2015-01-30,"CCRO3.SA",-0.0711246215158514,-0.0711246765273753
"22",15.51,15.92,15.41,15.64,4222000,11.916397,2015-02-02,"CCRO3.SA",0.0235602561941972,0.0235602094240839
"23",15.9,16.24,15.78,16.23,5590400,12.365927,2015-02-03,"CCRO3.SA",0.0377236508652741,0.0377237851662404
"24",16.23,16.5,15.77,16.15,6284400,12.304975,2015-02-04,"CCRO3.SA",-0.00492902796531136,-0.00492914356130636
"25",16.030001,16.68,15.99,16.280001,3705500,12.404024,2015-02-05,"CCRO3.SA",0.0080495084305332,0.00804959752321976
"26",16.09,16.280001,15.69,15.93,3667300,12.137351,2015-02-06,"CCRO3.SA",-0.0214989103536077,-0.0214988316032658
"27",15.86,16.219999,15.72,15.93,3097400,12.137351,2015-02-09,"CCRO3.SA",0,0
"28",16,16.299999,15.58,15.58,5891700,11.870681,2015-02-10,"CCRO3.SA",-0.0219710215186165,-0.0219711236660389
"29",15.67,15.97,15.26,15.49,3878200,11.802109,2015-02-11,"CCRO3.SA",-0.00577658518496116,-0.00577663671373552
"30",15.78,15.9,15.4,15.64,4621800,11.916397,2015-02-12,"CCRO3.SA",0.00968369297385752,0.00968366688185918
"31",15.61,16.35,15.61,16.35,3900300,12.457359,2015-02-13,"CCRO3.SA",0.045396439880276,0.0453964194373402
"32",16.379999,16.59,16.32,16.57,5282600,12.624978,2015-02-18,"CCRO3.SA",0.0134554202058399,0.0134556574923548
"33",16.360001,16.780001,16.25,16.450001,3074100,12.53355,2015-02-19,"CCRO3.SA",-0.00724183440161241,-0.00724194327097161
"34",16.469999,16.6,16.26,16.6,2754000,12.647839,2015-02-20,"CCRO3.SA",0.00911864555532937,0.00911847968884638
