"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",15.38,15.46,14.45,14.8,16606200,13.185509,2015-01-02,"COGN3.SA",NA,NA
"2",14.5,14.65,13.7,13.72,27422800,12.223321,2015-01-05,"COGN3.SA",-0.0729731404377335,-0.072972972972973
"3",13.85,14.01,12.36,12.8,39434200,11.403683,2015-01-06,"COGN3.SA",-0.0670552626409796,-0.0670553935860059
"4",12.87,12.98,11.94,12.61,52439200,11.234407,2015-01-07,"COGN3.SA",-0.0148439762838023,-0.01484375
"5",12.75,13.74,12.66,13.6,36442200,12.116412,2015-01-08,"COGN3.SA",0.0785092617705592,0.0785091197462331
"6",13.5,13.5,13.02,13.28,31826400,11.831319,2015-01-09,"COGN3.SA",-0.0235294904134986,-0.0235294117647059
"7",13.21,13.25,12.12,12.12,32575700,10.797861,2015-01-12,"COGN3.SA",-0.0873493479467506,-0.0873493975903614
"8",12.3,13.25,11.93,12.94,45349100,11.528409,2015-01-13,"COGN3.SA",0.0676567331251996,0.0676567656765676
"9",12.85,13.11,12.62,13,28789900,11.581867,2015-01-14,"COGN3.SA",0.0046370665718054,0.00463678516228749
"10",12.95,12.95,12.21,12.6,39231100,11.225497,2015-01-15,"COGN3.SA",-0.0307696505235295,-0.0307692307692308
"11",12.62,13.68,12.61,13.44,19830900,11.973864,2015-01-16,"COGN3.SA",0.066666714177555,0.0666666666666667
"12",13.2,13.32,12.87,13.15,8984100,11.715502,2015-01-19,"COGN3.SA",-0.0215771617249035,-0.0215773809523809
"13",13.3,13.55,12.83,13.04,14720200,11.617501,2015-01-20,"COGN3.SA",-0.0083650704852426,-0.00836501901140696
"14",13.19,13.7,12.95,13.63,19711600,12.143139,2015-01-21,"COGN3.SA",0.04524535870494,0.0452453987730064
"15",12.9,13.18,11.93,12.65,47863100,11.270043,2015-01-22,"COGN3.SA",-0.0719003545952986,-0.0719002201027146
"16",12.8,13.07,12.35,12.52,18711700,11.154225,2015-01-23,"COGN3.SA",-0.0102766244991256,-0.0102766798418973
"17",12.5,13.17,12.33,13.04,20937400,11.617501,2015-01-26,"COGN3.SA",0.0415336789422842,0.0415335463258786
"18",12.91,13.25,12.74,13.15,20120500,11.715502,2015-01-27,"COGN3.SA",0.00843563516801082,0.0084355828220859
"19",13.04,13.06,12.43,12.56,20044600,11.189862,2015-01-28,"COGN3.SA",-0.0448670488042254,-0.0448669201520913
