"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",24.459999,25.530001,24.26,24.85,3209400,23.947773,2015-01-02,"EMBR3.SA",NA,NA
"2",24.85,25.01,24.27,24.299999,3953200,23.417742,2015-01-05,"EMBR3.SA",-0.0221327887148421,-0.0221328370221329
"3",24.450001,24.450001,23.51,23.860001,2228100,22.993721,2015-01-06,"EMBR3.SA",-0.0181068268665698,-0.0181069143253874
"4",23.940001,24.18,23.32,23.68,2503800,22.82025,2015-01-07,"EMBR3.SA",-0.00754427697891957,-0.00754404830075239
"5",24,24,22.85,23,2387500,22.16494,2015-01-08,"EMBR3.SA",-0.0287161621805195,-0.0287162162162162
"6",22.950001,23.16,22.66,22.799999,1942000,21.972202,2015-01-09,"EMBR3.SA",-0.00869562471181973,-0.00869569565217387
"7",22.799999,23.049999,22.530001,22.91,1710400,22.078207,2015-01-12,"EMBR3.SA",0.00482450507236365,0.00482460547476338
"8",22.85,23.200001,22.559999,22.620001,1643800,21.798738,2015-01-13,"EMBR3.SA",-0.0126581384077067,-0.0126581841990397
"9",22.299999,22.299999,21.34,21.4,4760500,20.623034,2015-01-14,"EMBR3.SA",-0.0539344984099538,-0.0539346130002382
"10",21.5,21.959999,21.35,21.57,2769500,20.786858,2015-01-15,"EMBR3.SA",0.00794373902501433,0.00794392523364484
"11",21.450001,21.84,21.200001,21.35,2123200,20.574846,2015-01-16,"EMBR3.SA",-0.0101993288259341,-0.010199350950394
"12",21.34,21.57,21.18,21.35,737900,20.574846,2015-01-19,"EMBR3.SA",0,0
"13",21.75,21.75,21.049999,21.23,1302600,20.459204,2015-01-20,"EMBR3.SA",-0.00562055239684423,-0.0056206088992975
"14",21.4,22.110001,21.219999,22.110001,2836400,21.307255,2015-01-21,"EMBR3.SA",0.0414508306383767,0.0414508243052285
"15",22.299999,22.389999,22,22.219999,2389500,21.41326,2015-01-22,"EMBR3.SA",0.00497506600451336,0.00497503369628971
"16",22.299999,23.1,21.940001,22.950001,2460700,22.116756,2015-01-23,"EMBR3.SA",0.0328532881027923,0.0328533768160835
"17",22.790001,23.049999,22.5,22.969999,2022400,22.136028,2015-01-26,"EMBR3.SA",0.000871375530841823,0.000871372511051405
"18",22.76,23.040001,22.530001,23,1694000,22.16494,2015-01-27,"EMBR3.SA",0.00130610604576398,0.0013060949632604
"19",23.24,23.24,22.58,22.85,1123800,22.020384,2015-01-28,"EMBR3.SA",-0.00652183132460549,-0.00652173913043474
"20",22.77,23.280001,22.66,23.1,2742800,22.261312,2015-01-29,"EMBR3.SA",0.0109411352681226,0.0109409190371992
"21",23.030001,23.799999,23,23.74,3783800,22.878078,2015-01-30,"EMBR3.SA",0.0277057345047766,0.0277056277056276
"22",23.559999,23.969999,23.559999,23.74,2476000,22.878078,2015-02-02,"EMBR3.SA",0,0
"23",24.07,24.27,23.76,24.25,1949200,23.36956,2015-02-03,"EMBR3.SA",0.0214826612620169,0.0214827295703455
"24",24.25,24.98,23.84,24.709999,2775000,23.812857,2015-02-04,"EMBR3.SA",0.0189689921419145,0.018969030927835
