"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",8.765546,8.874006,8.213386,8.607786,1321195,5.996951,2015-01-02,"ENBR3.SA",NA,NA
"2",8.548626,8.548626,8.164086,8.262686,1629004,5.756523,2015-01-05,"ENBR3.SA",-0.0400917066022385,-0.0400916100841727
"3",8.311986,8.459886,8.262686,8.400726,1826063,5.852694,2015-01-06,"ENBR3.SA",0.016706438938922,0.0167064317825947
"4",8.430306,8.854286,8.381006,8.726106,2189856,6.079383,2015-01-07,"ENBR3.SA",0.0387324196344454,0.0387323667025921
"5",8.726106,9.051486,8.627506,8.972606,1470181,6.251117,2015-01-08,"ENBR3.SA",0.0282485903585938,0.028248568147121
"6",8.874006,8.883866,8.440166,8.716246,2614703,6.072514,2015-01-09,"ENBR3.SA",-0.028571373724088,-0.0285714094656558
"7",8.509186,8.647226,8.450026,8.479606,2074846,5.90765,2015-01-12,"ENBR3.SA",-0.0271492169470502,-0.027149302578197
"8",8.568346,8.676806,8.479606,8.666946,2513588,6.038167,2015-01-13,"ENBR3.SA",0.022092879571403,0.0220930076232315
"9",8.430306,8.854286,8.430306,8.854286,1929815,6.168684,2015-01-14,"ENBR3.SA",0.0216153345874668,0.0216154571633422
"10",8.824706,9.110647,8.647226,8.814846,2206590,6.141207,2015-01-15,"ENBR3.SA",-0.00445427258066711,-0.0044543399659781
"11",8.637366,9.169807,8.597926,8.834566,2197057,6.154946,2015-01-16,"ENBR3.SA",0.00223718236496517,0.00223713494257316
"12",8.913446,8.952886,8.410586,8.469746,1208822,5.90078,2015-01-19,"ENBR3.SA",-0.0412945946235759,-0.0412946148118651
"13",8.479606,8.775406,8.410586,8.410586,2557401,5.859564,2015-01-20,"ENBR3.SA",-0.00698483929243254,-0.00698486117529384
"14",8.489466,8.874006,8.489466,8.864146,1172514,6.175554,2015-01-21,"ENBR3.SA",0.0539272205235748,0.0539272768865331
"15",8.814846,9.051486,8.686666,8.844426,2003953,6.161816,2015-01-22,"ENBR3.SA",-0.00222457774638518,-0.0022246925987004
"16",8.666946,8.834566,8.519046,8.519046,1072108,5.935127,2015-01-23,"ENBR3.SA",-0.0367893166559988,-0.0367892727012472
"17",8.519046,8.528906,8.272546,8.282406,1364603,5.770262,2015-01-26,"ENBR3.SA",-0.027777838620808,-0.0277777582137718
"18",8.292266,8.430306,8.173946,8.390866,3110950,5.845825,2015-01-27,"ENBR3.SA",0.0130952459351066,0.0130952286086918
"19",8.381006,8.657086,8.341566,8.647226,1539349,6.024428,2015-01-28,"ENBR3.SA",0.0305522317209292,0.0305522695750353
"20",8.637366,8.795126,8.459886,8.726106,1935698,6.079383,2015-01-29,"ENBR3.SA",0.00912202785061078,0.00912200051207179
"21",8.578206,8.627506,8.321846,8.450026,2380626,5.887041,2015-01-30,"ENBR3.SA",-0.031638408042395,-0.0316383963247754
"22",8.578206,9.012046,8.341566,8.795126,2973324,6.127469,2015-02-02,"ENBR3.SA",0.0408402115765798,0.0408401110245105
"23",8.933166,8.992326,8.331706,8.479606,3393912,5.90765,2015-02-03,"ENBR3.SA",-0.0358743553006958,-0.0358744149884833
"24",8.450026,8.499326,8.321846,8.321846,1827584,5.79774,2015-02-04,"ENBR3.SA",-0.0186046905283828,-0.0186046379985108
"25",8.331706,8.459886,8.085206,8.183806,3935798,5.701569,2015-02-05,"ENBR3.SA",-0.0165876703681089,-0.0165876657655044
"26",7.996466,8.154226,7.947166,8.085206,2411052,5.632875,2015-02-06,"ENBR3.SA",-0.0120482625045842,-0.0120481839378892
"27",8.124646,8.272546,7.888006,8.124646,2256590,5.660352,2015-02-09,"ENBR3.SA",0.00487797084082264,0.00487804516050683
"28",7.957026,8.134506,7.957026,8.026046,1799897,5.591659,2015-02-10,"ENBR3.SA",-0.0121358177017966,-0.0121359133677948
"29",7.957026,8.026046,7.769685,7.868286,2377990,5.48175,2015-02-11,"ENBR3.SA",-0.0196558838799004,-0.0196560049618453
"30",7.888006,8.331706,7.868286,8.203526,3845230,5.715308,2015-02-12,"ENBR3.SA",0.0426064669129385,0.0426064838009192
"31",8.035906,8.528906,8.035906,8.381006,1760546,5.838956,2015-02-13,"ENBR3.SA",0.0216345295826574,0.0216345995612131
"32",8.361286,8.578206,8.331706,8.578206,2053142,5.976343,2015-02-18,"ENBR3.SA",0.0235293775120073,0.023529394919894
"33",8.440166,8.864146,8.440166,8.696526,1648578,6.058774,2015-02-19,"ENBR3.SA",0.0137928830390088,0.0137930938007318
"34",8.755686,8.775406,8.440166,8.489466,902331,5.914518,2015-02-20,"ENBR3.SA",-0.0238094373548179,-0.0238095073826031
"35",8.410586,8.597926,8.351426,8.479606,1434583,5.90765,2015-02-23,"ENBR3.SA",-0.00116121043168693,-0.00116143936497304
"36",8.450026,8.755686,8.420446,8.528906,2031742,5.941996,2015-02-24,"ENBR3.SA",0.00581381767707967,0.00581394937453439
"37",8.479606,8.795126,8.479606,8.706386,1419978,6.065644,2015-02-25,"ENBR3.SA",0.0208091691748025,0.0208092339158152
"38",8.824706,9.347287,8.607786,9.327567,2301215,6.498415,2015-02-26,"ENBR3.SA",0.0713479063393763,0.071347744058212
"39",9.209247,9.209247,8.637366,8.874006,2676468,6.182424,2015-02-27,"ENBR3.SA",-0.0486258572282625,-0.0486258635290425
"40",8.893726,8.893726,8.509186,8.538766,1400100,5.948865,2015-03-02,"ENBR3.SA",-0.0377779007069072,-0.0377777522350108
"41",8.913446,8.913446,8.459886,8.479606,2019673,5.90765,2015-03-03,"ENBR3.SA",-0.00692821235647456,-0.00692840159807639
"42",8.430306,8.548626,8.252826,8.430306,2743912,5.873303,2015-03-04,"ENBR3.SA",-0.00581398694912538,-0.00581394937453472
"43",8.489466,8.499326,8.321846,8.341566,1981032,5.811478,2015-03-05,"ENBR3.SA",-0.0105264448301067,-0.0105263082977058
"44",8.361286,8.469746,8.302126,8.390866,1288031,5.845825,2015-03-06,"ENBR3.SA",0.00591020046879631,0.00591016123351418
"45",8.302126,8.341566,8.154226,8.154226,2190059,5.680961,2015-03-09,"ENBR3.SA",-0.0282020074155487,-0.0282020949923406
"46",8.045766,8.568346,8.035906,8.479606,2079004,5.90765,2015-03-10,"ENBR3.SA",0.0399032839690328,0.0399032354511637
"47",8.400726,8.578206,8.302126,8.568346,2670383,5.969474,2015-03-11,"ENBR3.SA",0.0104650749451982,0.0104651088741623
"48",8.647226,8.854286,8.509186,8.676806,3311153,6.045037,2015-03-12,"ENBR3.SA",0.0126582342095802,0.012658218984154
"49",8.548626,8.834566,8.548626,8.578206,3369165,5.976343,2015-03-13,"ENBR3.SA",-0.0113637021576543,-0.0113636285056966
"50",8.676806,9.071207,8.657086,8.992326,2345231,6.264856,2015-03-16,"ENBR3.SA",0.0482758436053621,0.0482758283025613
"51",9.100787,9.297987,8.854286,8.972606,3533262,6.251117,2015-03-17,"ENBR3.SA",-0.0021930272619195,-0.00219298099290433
"52",8.982466,9.505047,8.952886,9.505047,2283162,6.622063,2015-03-18,"ENBR3.SA",0.0593407546203342,0.05934073110978
"53",9.445887,9.603647,9.238827,9.416307,1792899,6.560239,2015-03-19,"ENBR3.SA",-0.00933606339897397,-0.00933609270948366
"54",9.485327,10.116367,9.455747,9.948747,4706690,6.931184,2015-03-20,"ENBR3.SA",0.0565444338232188,0.0565444605831138
"55",9.938887,10.086787,9.751547,9.938887,2287523,6.924314,2015-03-23,"ENBR3.SA",-0.000991172648136307,-0.000991079580172194
"56",9.929027,10.392448,9.929027,10.145947,1518660,7.068571,2015-03-24,"ENBR3.SA",0.0208333995252095,0.0208333186603289
"57",10.323427,10.323427,9.771267,9.948747,2086408,6.931184,2015-03-25,"ENBR3.SA",-0.0194363188825578,-0.0194363325572271
"58",9.790987,9.860007,9.534627,9.712107,1528294,6.766319,2015-03-26,"ENBR3.SA",-0.0237859794228519,-0.0237859099241341
"59",9.682527,10.086787,9.613507,9.613507,2058821,6.697627,2015-03-27,"ENBR3.SA",-0.0101520486988569,-0.0101522769467016
"60",9.692387,10.461468,9.692387,10.323427,1948984,7.192221,2015-03-30,"ENBR3.SA",0.0738461547649638,0.0738461000756541
"61",10.353007,10.451608,10.165667,10.175527,2341884,7.089178,2015-03-31,"ENBR3.SA",-0.0143270069148319,-0.0143266378500085
"62",10.362868,11.023488,10.293847,10.747408,2509835,7.487602,2015-04-01,"ENBR3.SA",0.0562017204251324,0.0562016100001503
"63",10.836148,11.062928,10.451608,10.560068,2445637,7.357085,2015-04-02,"ENBR3.SA",-0.0174310814063035,-0.0174311796853717
"64",10.727688,11.269988,10.648808,11.131948,899999,7.755508,2015-04-06,"ENBR3.SA",0.0541550084034641,0.0541549543052184
"65",11.003768,11.003768,10.500908,10.796708,1021398,7.521949,2015-04-07,"ENBR3.SA",-0.0301152419673862,-0.0301151245047138
"66",10.786848,10.786848,10.540348,10.717828,1017342,7.466993,2015-04-08,"ENBR3.SA",-0.00730608516489539,-0.00730593065960472
"67",10.471328,10.846008,10.471328,10.846008,1690769,7.556296,2015-04-09,"ENBR3.SA",0.0119597005113035,0.0119595126923102
"68",10.895308,10.993908,10.589648,10.767128,1774947,7.501341,2015-04-10,"ENBR3.SA",-0.00727274315352389,-0.00727272190837402
"69",10.471328,10.855868,10.471328,10.668528,2059024,7.524325,2015-04-13,"ENBR3.SA",0.00306398549272724,-0.00915750235345947
"70",10.776988,10.816428,10.510768,10.579788,1018863,7.46174,2015-04-14,"ENBR3.SA",-0.00831768962664425,-0.00831792352234528
"71",10.688248,10.846008,10.560068,10.836148,865820,7.642545,2015-04-15,"ENBR3.SA",0.0242309434528676,0.0242311093568226
"72",10.796708,10.944608,10.707968,10.846008,1325455,7.649498,2015-04-16,"ENBR3.SA",0.000909775474007724,0.000909917435605312
"73",10.747408,10.855868,10.579788,10.688248,797261,7.538234,2015-04-17,"ENBR3.SA",-0.0145452681992989,-0.014545443816748
"74",10.826288,10.865728,10.579788,10.796708,587017,7.61473,2015-04-20,"ENBR3.SA",0.0101477348673442,0.010147593880681
"75",10.836148,11.260128,10.806568,11.092508,1729207,7.823352,2015-04-22,"ENBR3.SA",0.0273971631298813,0.0273972399735178
"76",11.200968,11.467188,11.082648,11.220688,694319,7.913755,2015-04-23,"ENBR3.SA",0.0115555327179451,0.0115555472216022
"77",11.368588,11.427748,11.023488,11.388308,1650100,8.031974,2015-04-24,"ENBR3.SA",0.0149384205096064,0.0149384779257742
"78",11.378448,11.496768,11.072788,11.102368,1115617,7.830306,2015-04-27,"ENBR3.SA",-0.0251081490054624,-0.0251082074703284
"79",11.240408,11.447468,11.023488,11.309428,1316429,7.976342,2015-04-28,"ENBR3.SA",0.0186501012859523,0.0186500753713081
"80",11.269988,11.467188,11.112228,11.230548,1540972,7.920708,2015-04-29,"ENBR3.SA",-0.00697487645339179,-0.00697471171839992
"81",11.072788,11.339008,10.964328,11.289708,1803852,7.962434,2015-04-30,"ENBR3.SA",0.0052679634194317,0.00526777500082787
"82",11.250268,11.339008,11.003768,11.230548,1752229,7.920708,2015-05-04,"ENBR3.SA",-0.00524035740829998,-0.00524017095924878
"83",11.141808,11.871449,11.141808,11.871449,1714298,8.372725,2015-05-05,"ENBR3.SA",0.0570677520241878,0.0570676515518209
"84",11.832009,11.832009,11.457328,11.634808,2105272,8.205827,2015-05-06,"ENBR3.SA",-0.0199335341839129,-0.019933623940936
"85",11.585508,11.644668,11.269988,11.299568,1494927,7.969388,2015-05-07,"ENBR3.SA",-0.0288135492010737,-0.0288135395100632
"86",11.388308,11.575648,11.358728,11.417888,2195130,8.052835,2015-05-08,"ENBR3.SA",0.0104709420597917,0.0104711967749562
"87",11.546068,11.605228,11.358728,11.467188,1338538,8.087606,2015-05-11,"ENBR3.SA",0.00431785824495345,0.00431778626660217
"88",11.555928,11.595368,11.289708,11.348868,1945536,8.00416,2015-05-12,"ENBR3.SA",-0.0103177627594616,-0.010318135535931
"89",11.339008,11.457328,10.826288,10.885448,1649390,7.677318,2015-05-13,"ENBR3.SA",-0.0408340163115182,-0.0408340285568569
"90",10.934748,11.033348,10.806568,10.855868,2586813,7.656454,2015-05-14,"ENBR3.SA",-0.00271761570902751,-0.00271738930726606
"91",10.836148,11.289708,10.826288,11.072788,1974237,7.809444,2015-05-15,"ENBR3.SA",0.0199818349329859,0.019981819970545
"92",11.260128,11.260128,10.964328,11.072788,2011053,7.809444,2015-05-18,"ENBR3.SA",0,0
"93",11.053068,11.151668,10.964328,10.993908,2133061,7.753811,2015-05-19,"ENBR3.SA",-0.00712381060674749,-0.0071237704541981
