"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",8.03,8.085,7.875,8,232400,6.270061,2015-01-02,"FLRY3.SA",NA,NA
"2",7.945,7.97,7.665,7.665,174000,6.007503,2015-01-05,"FLRY3.SA",-0.0418748717117745,-0.041875
"3",7.62,7.71,7.555,7.555,108800,5.921288,2015-01-06,"FLRY3.SA",-0.0143512204654747,-0.0143509458577952
"4",7.575,7.765,7.45,7.5,156200,5.878181,2015-01-07,"FLRY3.SA",-0.00728000394508765,-0.00727994705493051
"5",7.5,7.52,7.335,7.4,335400,5.799806,2015-01-08,"FLRY3.SA",-0.0133332063099111,-0.0133333333333333
"6",7.4,7.43,7.375,7.375,131800,5.780212,2015-01-09,"FLRY3.SA",-0.00337838886335173,-0.0033783783783784
"7",7.36,7.445,7.255,7.3,311200,5.721431,2015-01-12,"FLRY3.SA",-0.0101693501899238,-0.0101694915254238
"8",7.495,7.495,7.245,7.255,146600,5.686161,2015-01-13,"FLRY3.SA",-0.00616454170294101,-0.00616438356164384
"9",7.26,7.29,7.2,7.26,98200,5.690079,2015-01-14,"FLRY3.SA",0.000689041340897534,0.000689179875947632
"10",7.345,7.4,7.215,7.305,71600,5.725349,2015-01-15,"FLRY3.SA",0.00619850796447641,0.00619834710743805
"11",7.285,7.295,6.975,7.125,141000,5.584273,2015-01-16,"FLRY3.SA",-0.0246405939620449,-0.0246406570841888
"12",7.14,7.4,7.14,7.4,267000,5.799806,2015-01-19,"FLRY3.SA",0.0385964296516308,0.0385964912280703
"13",7.305,7.375,6.875,6.995,650000,5.482384,2015-01-20,"FLRY3.SA",-0.0547297616506484,-0.0547297297297298
"14",7.005,7.035,6.5,6.75,1072600,5.290363,2015-01-21,"FLRY3.SA",-0.035025091274161,-0.0350250178699071
"15",6.76,6.89,6.7,6.89,256600,5.400088,2015-01-22,"FLRY3.SA",0.0207405427567069,0.0207407407407407
"16",6.8,6.915,6.8,6.915,239000,5.419683,2015-01-23,"FLRY3.SA",0.00362864457023671,0.00362844702467346
"17",6.915,6.985,6.75,6.855,150200,5.372658,2015-01-26,"FLRY3.SA",-0.00867670673727594,-0.00867678958785245
"18",6.8,7.445,6.8,7.17,308000,5.619542,2015-01-27,"FLRY3.SA",0.0459519291940786,0.0459518599562363
"19",7.16,7.16,6.825,6.875,138400,5.388333,2015-01-28,"FLRY3.SA",-0.0411437444546192,-0.0411436541143654
"20",6.915,7.095,6.79,7.025,236800,5.505897,2015-01-29,"FLRY3.SA",0.0218182506537736,0.021818181818182
"21",7,7.005,6.855,6.925,255000,5.427521,2015-01-30,"FLRY3.SA",-0.0142349193964217,-0.0142348754448399
"22",6.925,7.405,6.66,7.17,224800,5.619542,2015-02-02,"FLRY3.SA",0.0353791353363719,0.0353790613718412
"23",7.155,7.69,7.045,7.25,291000,5.682242,2015-02-03,"FLRY3.SA",0.0111574929060054,0.0111576011157601
"24",7.485,7.485,7.125,7.165,210000,5.615622,2015-02-04,"FLRY3.SA",-0.0117242454650822,-0.0117241379310344
"25",7.21,7.45,7.15,7.365,265200,5.772373,2015-02-05,"FLRY3.SA",0.0279133816343051,0.0279134682484299
"26",7.355,7.355,7.005,7.045,850800,5.521572,2015-02-06,"FLRY3.SA",-0.0434485089581009,-0.0434487440597421
"27",7.08,7.255,7.02,7.2,63400,5.643054,2015-02-09,"FLRY3.SA",0.0220013430957706,0.022001419446416
"28",7.2,7.2,7.055,7.055,443200,5.52941,2015-02-10,"FLRY3.SA",-0.0201387404763449,-0.0201388888888889
"29",7.095,7.11,7.045,7.05,22200,5.525491,2015-02-11,"FLRY3.SA",-0.000708755545347661,-0.000708717221828525
"30",7.145,7.2,7.115,7.15,25600,5.603867,2015-02-12,"FLRY3.SA",0.0141844408035414,0.0141843971631206
"31",7.215,7.25,7.1,7.175,113200,5.62346,2015-02-13,"FLRY3.SA",0.00349633565536078,0.00349650349650332
"32",7.15,7.2,7.15,7.2,55600,5.643054,2015-02-18,"FLRY3.SA",0.00348433171037055,0.00348432055749126
"33",7.13,7.2,7.125,7.2,66800,5.643054,2015-02-19,"FLRY3.SA",0,0
"34",7.13,7.13,6.88,6.88,850400,5.392251,2015-02-20,"FLRY3.SA",-0.0444445507698491,-0.0444444444444445
"35",6.875,7.095,6.805,7.09,425000,5.556841,2015-02-23,"FLRY3.SA",0.03052343075276,0.0305232558139534
"36",7.09,7.12,7.04,7.075,472600,5.545086,2015-02-24,"FLRY3.SA",-0.00211541053631015,-0.00211565585331452
"37",6.9,7.19,6.9,7.075,62000,5.545086,2015-02-25,"FLRY3.SA",0,0
"38",7.185,7.35,7.01,7.05,51000,5.525491,2015-02-26,"FLRY3.SA",-0.00353375944034062,-0.00353356890459366
"39",7.07,7.135,6.865,6.905,80200,5.411847,2015-02-27,"FLRY3.SA",-0.0205672219898647,-0.0205673758865248
"40",6.975,7.075,6.845,6.885,243200,5.39617,2015-03-02,"FLRY3.SA",-0.00289679290637745,-0.00289645184648812
"41",6.945,7.08,6.925,6.995,1321600,5.482384,2015-03-03,"FLRY3.SA",0.0159768873108148,0.0159767610748003
"42",6.99,7.07,6.94,7.05,274800,5.525491,2015-03-04,"FLRY3.SA",0.00786282026213403,0.00786275911365264
"43",6.985,7.1,6.875,6.9,77800,5.407927,2015-03-05,"FLRY3.SA",-0.0212766612053118,-0.0212765957446808
"44",7,7,6.855,6.9,129400,5.407927,2015-03-06,"FLRY3.SA",0,0
"45",6.855,6.9,6.65,6.76,165800,5.298202,2015-03-09,"FLRY3.SA",-0.0202896599750699,-0.0202898550724638
"46",6.65,7.145,6.595,6.975,253600,5.466709,2015-03-10,"FLRY3.SA",0.0318045631329269,0.0318047337278107
"47",6.975,7.125,6.875,6.875,194200,5.388333,2015-03-11,"FLRY3.SA",-0.0143369621466954,-0.0143369175627239
"48",6.95,7.175,6.95,7.065,39400,5.537247,2015-03-12,"FLRY3.SA",0.0276363765936514,0.0276363636363637
"49",7,7.15,6.85,7.15,59200,5.603867,2015-03-13,"FLRY3.SA",0.0120312494638581,0.0120311394196744
"50",7,7,6.76,6.98,217000,5.470628,2015-03-16,"FLRY3.SA",-0.0237762602145983,-0.0237762237762238
"51",7.02,7.26,6.935,7.2,269000,5.643054,2015-03-17,"FLRY3.SA",0.0315185020805657,0.0315186246418337
"52",7.25,7.415,7.15,7.41,154600,5.807642,2015-03-18,"FLRY3.SA",0.0291664761669834,0.0291666666666666
"53",7.285,7.43,7.205,7.335,86800,5.748862,2015-03-19,"FLRY3.SA",-0.0101211472745738,-0.0101214574898786
"54",7.445,7.495,7.115,7.495,334000,5.874263,2015-03-20,"FLRY3.SA",0.0218131866793811,0.021813224267212
"55",7.515,7.65,7.29,7.555,346400,5.921288,2015-03-23,"FLRY3.SA",0.00800525955341125,0.00800533689126071
"56",7.555,7.555,7.22,7.35,752400,5.760618,2015-03-24,"FLRY3.SA",-0.0271342991592369,-0.0271343481138319
"57",7.35,7.48,7.325,7.455,989000,5.842912,2015-03-25,"FLRY3.SA",0.0142856200497934,0.0142857142857142
"58",7.39,7.55,7.195,7.295,325800,5.717511,2015-03-26,"FLRY3.SA",-0.0214620723365336,-0.0214621059691482
"59",7.415,7.47,7.225,7.285,263400,5.709674,2015-03-27,"FLRY3.SA",-0.00137070134189521,-0.00137080191912264
"60",7.325,7.675,7.31,7.575,285400,5.936964,2015-03-30,"FLRY3.SA",0.0398078769470902,0.0398078242964996
"61",7.52,8,7.49,8,388000,6.270061,2015-03-31,"FLRY3.SA",0.056105612228742,0.056105610561056
"62",7.9,7.99,7.67,7.795,470200,6.10939,2015-04-01,"FLRY3.SA",-0.0256251095483759,-0.025625
"63",7.75,7.81,7.685,7.78,233200,6.097634,2015-04-02,"FLRY3.SA",-0.00192425102997196,-0.00192431045542008
"64",7.785,7.995,7.765,7.8,328400,6.113309,2015-04-06,"FLRY3.SA",0.00257066921366556,0.00257069408740351
"65",7.835,7.995,7.765,7.94,366400,6.223035,2015-04-07,"FLRY3.SA",0.0179487083018379,0.0179487179487181
"66",7.995,8.05,7.87,8.05,467800,6.309248,2015-04-08,"FLRY3.SA",0.0138538510549917,0.013853904282116
"67",8.05,8.25,8,8.25,431400,6.466001,2015-04-09,"FLRY3.SA",0.024844957750908,0.0248447204968942
"68",8.245,8.3,8.175,8.3,253800,6.505187,2015-04-10,"FLRY3.SA",0.00606031455918421,0.0060606060606061
"69",8.375,8.4,8.2,8.245,178400,6.46208,2015-04-13,"FLRY3.SA",-0.00662655816043412,-0.00662650602409653
"70",8.22,8.25,8.19,8.2,639400,6.426812,2015-04-14,"FLRY3.SA",-0.00545768545112413,-0.00545785324439052
"71",8.275,8.355,7.965,8.2,631000,6.426812,2015-04-15,"FLRY3.SA",0,0
"72",8.23,8.37,8.185,8.35,282200,6.544376,2015-04-16,"FLRY3.SA",0.0182927398529784,0.0182926829268293
"73",8.315,8.425,8.26,8.425,160200,6.603158,2015-04-17,"FLRY3.SA",0.00898206337777663,0.00898203592814384
"74",8.4,8.455,8.195,8.435,219200,6.610995,2015-04-20,"FLRY3.SA",0.00118685634964355,0.00118694362017813
"75",8.445,8.5,8.335,8.335,431200,6.532618,2015-04-22,"FLRY3.SA",-0.0118555527571871,-0.0118553645524599
"76",8.15,8.5,8.14,8.5,232200,6.661938,2015-04-23,"FLRY3.SA",0.0197960450159491,0.0197960407918416
"77",8.5,8.5,8.25,8.375,1473200,6.563969,2015-04-24,"FLRY3.SA",-0.0147057808103288,-0.0147058823529411
"78",8.365,8.49,8.355,8.45,265200,6.622752,2015-04-27,"FLRY3.SA",0.00895540487775004,0.008955223880597
"79",8.45,8.5,8.3,8.5,982800,6.661938,2015-04-28,"FLRY3.SA",0.00591687564323706,0.00591715976331364
"80",8.495,8.495,8.385,8.4,218000,6.583562,2015-04-29,"FLRY3.SA",-0.0117647447334395,-0.0117647058823529
"81",8.45,8.495,8.185,8.185,504600,6.415057,2015-04-30,"FLRY3.SA",-0.0255948071879629,-0.0255952380952381
"82",8.3,8.6,8.185,8.55,387000,6.701127,2015-05-04,"FLRY3.SA",0.044593524266425,0.0445937690897984
"83",8.595,8.75,8.595,8.75,331800,6.857878,2015-05-05,"FLRY3.SA",0.0233917369421592,0.0233918128654971
"84",8.775,8.775,8.585,8.585,199200,6.728559,2015-05-06,"FLRY3.SA",-0.0188569992058769,-0.0188571428571428
"85",8.76,8.83,8.64,8.725,1063400,6.838285,2015-05-07,"FLRY3.SA",0.0163075035828624,0.0163075131042514
"86",8.765,8.95,8.68,8.95,455800,7.014629,2015-05-08,"FLRY3.SA",0.0257877523384884,0.0257879656160458
"87",8.965,8.985,8.805,8.85,208000,6.936255,2015-05-11,"FLRY3.SA",-0.0111729358744419,-0.0111731843575419
"88",8.945,8.98,8.78,8.925,388000,6.995035,2015-05-12,"FLRY3.SA",0.00847431358852857,0.00847457627118664
"89",8.93,9.03,8.825,8.83,257800,6.920579,2015-05-13,"FLRY3.SA",-0.0106441211516454,-0.0106442577030813
"90",8.885,8.94,8.72,8.805,133600,6.900985,2015-05-14,"FLRY3.SA",-0.00283126599667449,-0.00283125707814269
"91",8.77,9,8.75,9,391400,7.053818,2015-05-15,"FLRY3.SA",0.0221465486448673,0.0221465076660989
"92",9,9,8.875,8.925,156600,6.995035,2015-05-18,"FLRY3.SA",-0.00833350109118214,-0.0083333333333333
"93",8.93,9,8.845,9,86400,7.053818,2015-05-19,"FLRY3.SA",0.00840353193372168,0.00840336134453779
"94",8.985,8.985,8.85,8.92,98400,6.991117,2015-05-20,"FLRY3.SA",-0.00888894496569093,-0.00888888888888895
"95",8.87,8.95,8.805,8.95,73800,7.014629,2015-05-21,"FLRY3.SA",0.00336312494841673,0.00336322869955152
"96",8.96,8.975,8.835,8.88,94600,6.959767,2015-05-22,"FLRY3.SA",-0.00782108362395217,-0.00782122905027915
"97",8.955,8.96,8.88,8.89,31600,6.967604,2015-05-25,"FLRY3.SA",0.00112604344369571,0.00112612612612617
"98",8.935,8.95,8.84,8.84,98800,6.928416,2015-05-26,"FLRY3.SA",-0.00562431504431071,-0.00562429696287969
"99",8.89,8.895,8.385,8.8,137800,6.897067,2015-05-27,"FLRY3.SA",-0.00452469944068035,-0.00452488687782793
"100",8.82,8.85,8.575,8.64,213000,6.771665,2015-05-28,"FLRY3.SA",-0.0181819315369852,-0.0181818181818182
"101",8.735,8.785,8.6,8.65,157000,6.779503,2015-05-29,"FLRY3.SA",0.00115747013474543,0.00115740740740744
"102",8.57,8.825,8.57,8.825,167400,6.91666,2015-06-01,"FLRY3.SA",0.0202311290370401,0.0202312138728322
"103",8.735,8.9,8.73,8.875,156600,6.955849,2015-06-02,"FLRY3.SA",0.0056658849791662,0.0056657223796035
"104",8.865,8.95,8.865,8.95,50400,7.014629,2015-06-03,"FLRY3.SA",0.00845044221057711,0.0084507042253521
"105",8.945,8.95,8.775,8.775,73600,6.877473,2015-06-05,"FLRY3.SA",-0.0195528516190949,-0.0195530726256982
"106",8.835,8.97,8.79,8.925,177600,6.995035,2015-06-08,"FLRY3.SA",0.0170937784852081,0.017094017094017
