"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",9.54,9.54,9.01,9.17,5235300,7.398883,2015-01-02,"GGBR4.SA",NA,NA
"2",9.04,9.07,8.6,8.75,6604600,7.060004,2015-01-05,"GGBR4.SA",-0.0458013729910312,-0.0458015267175572
"3",8.72,9.7,8.72,9.67,12284800,7.802311,2015-01-06,"GGBR4.SA",0.105142574990043,0.105142857142857
"4",9.95,10.43,9.92,10.38,16906200,8.375179,2015-01-07,"GGBR4.SA",0.0734228615085966,0.0734229576008274
"5",10.54,10.66,10.01,10.14,8599700,8.181536,2015-01-08,"GGBR4.SA",-0.0231210580693261,-0.023121387283237
"6",10.14,10.14,9.66,9.68,6948500,7.810379,2015-01-09,"GGBR4.SA",-0.0453651979286041,-0.0453648915187378
"7",9.7,9.72,9.33,9.45,6853300,7.624802,2015-01-12,"GGBR4.SA",-0.0237603066381286,-0.0237603305785125
"8",9.47,9.77,9.1,9.18,6857400,7.406953,2015-01-13,"GGBR4.SA",-0.0285711025676471,-0.0285714285714286
"9",8.9,8.93,8.61,8.83,11269900,7.124551,2015-01-14,"GGBR4.SA",-0.0381266088768215,-0.0381263616557734
"10",8.7,9.14,8.7,8.98,9028100,7.24558,2015-01-15,"GGBR4.SA",0.016987596832418,0.0169875424688561
"11",9,9.61,8.9,9.42,6199000,7.600598,2015-01-16,"GGBR4.SA",0.0489978718059838,0.0489977728285078
"12",9.39,9.58,8.78,9.01,6593400,7.269787,2015-01-19,"GGBR4.SA",-0.0435243384796827,-0.0435244161358811
"13",9.1,9.35,8.97,9.19,10116000,7.41502,2015-01-20,"GGBR4.SA",0.0199776141997008,0.0199778024417314
"14",9.35,9.39,8.82,9.14,11439900,7.374678,2015-01-21,"GGBR4.SA",-0.00544057871725223,-0.00544069640914024
"15",9.15,9.36,8.98,9.1,12027400,7.342403,2015-01-22,"GGBR4.SA",-0.00437646226723398,-0.00437636761487981
"16",9.05,9.05,8.87,8.93,8115700,7.205238,2015-01-23,"GGBR4.SA",-0.01868121376612,-0.0186813186813187
"17",8.8,9.04,8.7,8.94,5099300,7.213305,2015-01-26,"GGBR4.SA",0.00111960215609819,0.00111982082866735
"18",8.92,8.97,8.51,8.79,6768000,7.092278,2015-01-27,"GGBR4.SA",-0.0167783006541384,-0.0167785234899329
"19",8.66,8.95,8.52,8.72,5620000,7.035797,2015-01-28,"GGBR4.SA",-0.00796373182213117,-0.00796359499431154
"20",8.75,9.15,8.75,8.94,7965600,7.213305,2015-01-29,"GGBR4.SA",0.0252292668478071,0.025229357798165
"21",8.78,9.29,8.61,9.27,8604000,7.47957,2015-01-30,"GGBR4.SA",0.0369130377822648,0.0369127516778525
"22",9.2,9.67,9.14,9.48,8036800,7.649008,2015-02-02,"GGBR4.SA",0.0226534413074548,0.022653721682848
"23",9.73,9.93,9.56,9.66,8620100,7.794244,2015-02-03,"GGBR4.SA",0.0189875602169589,0.0189873417721518
"24",9.64,9.88,9.47,9.56,5024700,7.713558,2015-02-04,"GGBR4.SA",-0.0103519982181722,-0.010351966873706
"25",9.51,9.75,9.51,9.66,5124800,7.794244,2015-02-05,"GGBR4.SA",0.0104602830496641,0.010460251046025
"26",9.55,9.79,9.27,9.77,4519100,7.882997,2015-02-06,"GGBR4.SA",0.0113869927602985,0.0113871635610765
"27",9.7,10.53,9.7,10.34,11001700,8.342907,2015-02-09,"GGBR4.SA",0.0583420239789512,0.0583418628454453
"28",10.15,10.42,9.73,9.75,8257800,7.866861,2015-02-10,"GGBR4.SA",-0.0570599672272507,-0.0570599613152805
"29",9.75,10.13,9.71,10.13,7010600,8.173463,2015-02-11,"GGBR4.SA",0.038973867721827,0.038974358974359
"30",10.1,10.29,9.72,9.84,5886900,7.939476,2015-02-12,"GGBR4.SA",-0.0286276453444519,-0.0286278381046398
"31",9.86,10.29,9.85,10.14,8687700,8.181536,2015-02-13,"GGBR4.SA",0.0304881581605636,0.0304878048780488
"32",10.21,10.49,10.21,10.28,5331700,8.294493,2015-02-18,"GGBR4.SA",0.0138063317205963,0.0138067061143983
"33",10.38,10.38,9.91,10.11,5356600,8.157328,2015-02-19,"GGBR4.SA",-0.0165368757318861,-0.0165369649805447
"34",10.15,10.34,10.02,10.18,4915600,8.21381,2015-02-20,"GGBR4.SA",0.00692408102260944,0.00692383778437189
"35",10.1,10.26,9.97,10,4558400,8.068575,2015-02-23,"GGBR4.SA",-0.0176818066159311,-0.0176817288801572
"36",10.11,10.22,9.99,10.09,3612000,8.141191,2015-02-24,"GGBR4.SA",0.00899985437329387,0.0089999999999999
"37",10,10.25,9.97,10.21,3345500,8.238015,2015-02-25,"GGBR4.SA",0.0118931001618807,0.0118929633300298
"38",10,10.25,9.88,10.19,4990600,8.221878,2015-02-26,"GGBR4.SA",-0.00195884566852578,-0.00195886385896193
"39",10.19,10.44,10.1,10.14,6660600,8.181536,2015-02-27,"GGBR4.SA",-0.00490666487632152,-0.00490677134445527
"40",10.09,10.2,9.77,9.8,6113200,7.907206,2015-03-02,"GGBR4.SA",-0.0335303786477257,-0.0335305719921104
"41",9.8,10.07,9.8,10.01,3612000,8.076645,2015-03-03,"GGBR4.SA",0.0214284287016171,0.0214285714285714
"42",9.99,10.62,9.99,10.46,13375100,8.43973,2015-03-04,"GGBR4.SA",0.0449549286863544,0.0449550449550451
"43",10.56,10.74,10.5,10.58,15123600,8.536551,2015-03-05,"GGBR4.SA",0.0114720494612977,0.0114722753346079
"44",10.58,10.73,10.29,10.73,6817500,8.657581,2015-03-06,"GGBR4.SA",0.0141778570760018,0.0141776937618148
"45",10.49,11.11,10.37,11,9728500,8.875433,2015-03-09,"GGBR4.SA",0.0251631489211592,0.0251630941286114
"46",10.95,11.32,10.8,10.9,14862600,8.794746,2015-03-10,"GGBR4.SA",-0.00909104941696925,-0.00909090909090904
"47",11.02,11.09,10.65,10.89,7073700,8.786679,2015-03-11,"GGBR4.SA",-0.000917252186703355,-0.000917431192660523
"48",11.05,11.14,10.69,10.84,6703600,8.746336,2015-03-12,"GGBR4.SA",-0.00459138202271869,-0.00459136822773198
"49",10.58,11.18,10.55,10.84,11691900,8.746336,2015-03-13,"GGBR4.SA",0,0
"50",11.08,11.08,10.55,10.75,9730800,8.673717,2015-03-16,"GGBR4.SA",-0.0083027910201483,-0.0083025830258302
"51",10.81,11.14,10.72,11.09,7352000,9.006696,2015-03-17,"GGBR4.SA",0.0383894240496894,0.0316279069767442
"52",11.07,11.4,10.87,11.4,8403300,9.25846,2015-03-18,"GGBR4.SA",0.0279529807600922,0.0279531109107305
"53",11.31,11.44,11.08,11.16,6726200,9.063548,2015-03-19,"GGBR4.SA",-0.0210523132356784,-0.0210526315789474
"54",11.35,11.4,10.96,11.04,9871300,8.966088,2015-03-20,"GGBR4.SA",-0.0107529634090316,-0.0107526881720431
"55",11.19,11.2,10.97,11.1,4493500,9.014822,2015-03-23,"GGBR4.SA",0.00543536936063993,0.00543478260869579
"56",11.11,11.11,10.65,10.91,4880100,8.860513,2015-03-24,"GGBR4.SA",-0.0171172542286472,-0.0171171171171171
"57",10.99,11.2,10.9,11.12,9285500,9.031062,2015-03-25,"GGBR4.SA",0.0192482083148009,0.0192483959670027
"58",11.06,11.1,10.82,10.82,6509700,8.787421,2015-03-26,"GGBR4.SA",-0.0269781117658145,-0.026978417266187
"59",10.86,10.86,9.85,9.96,29872900,8.088972,2015-03-27,"GGBR4.SA",-0.0794828198170999,-0.0794824399260627
"60",10.02,10.44,9.95,10.34,10751800,8.397589,2015-03-30,"GGBR4.SA",0.0381528085398244,0.0381526104417669
"61",10.15,10.32,10.05,10.1,7906300,8.202675,2015-03-31,"GGBR4.SA",-0.0232107096453519,-0.0232108317214701
"62",10.18,10.39,10.18,10.2,7755700,8.283887,2015-04-01,"GGBR4.SA",0.00990067264642347,0.00990099009900991
"63",10.25,10.34,9.97,10.04,10261500,8.153945,2015-04-02,"GGBR4.SA",-0.0156861145015619,-0.015686274509804
"64",10,10.08,9.87,10,8470200,8.121457,2015-04-06,"GGBR4.SA",-0.00398432905789781,-0.00398406374501981
"65",9.99,10.11,9.81,9.89,8079500,8.032123,2015-04-07,"GGBR4.SA",-0.0109997504142421,-0.0109999999999999
"66",9.99,10,9.64,9.66,7840300,7.84533,2015-04-08,"GGBR4.SA",-0.0232557444650686,-0.0232558139534884
"67",9.7,9.92,9.61,9.7,6067500,7.877813,2015-04-09,"GGBR4.SA",0.00414042494069711,0.00414078674948226
"68",9.71,9.83,9.53,9.59,3937700,7.788479,2015-04-10,"GGBR4.SA",-0.011339949298111,-0.011340206185567
"69",9.62,9.7,9.54,9.7,3724000,7.877813,2015-04-13,"GGBR4.SA",0.0114700187289456,0.0114702815432741
"70",9.72,9.88,9.63,9.76,4825000,7.926543,2015-04-14,"GGBR4.SA",0.00618572692700381,0.00618556701030926
"71",9.84,10.21,9.84,10,7212000,8.121457,2015-04-15,"GGBR4.SA",0.0245900388101092,0.0245901639344261
"72",10.04,10.13,9.56,9.65,8392000,7.837209,2015-04-16,"GGBR4.SA",-0.0349996312238062,-0.0349999999999999
"73",9.56,9.56,9.16,9.24,9011100,7.504229,2015-04-17,"GGBR4.SA",-0.0424870639535069,-0.0424870466321243
"74",9.29,9.56,9.24,9.4,5714900,7.63417,2015-04-20,"GGBR4.SA",0.0173157029189808,0.0173160173160174
"75",9.53,9.85,9.48,9.75,6978200,7.918423,2015-04-22,"GGBR4.SA",0.0372343031396996,0.0372340425531914
"76",9.74,10.31,9.66,10.24,8715800,8.316373,2015-04-23,"GGBR4.SA",0.0502562189466262,0.0502564102564103
"77",10.39,10.64,10.39,10.5,8934200,8.527534,2015-04-24,"GGBR4.SA",0.0253909967722707,0.025390625
"78",10.56,10.84,10.11,10.15,6592000,8.243279,2015-04-27,"GGBR4.SA",-0.0333337867664908,-0.0333333333333333
"79",10.12,10.33,9.94,10.11,6101500,8.210794,2015-04-28,"GGBR4.SA",-0.00394078618472082,-0.00394088669950743
"80",10,10.04,9.79,9.92,4710800,8.056485,2015-04-29,"GGBR4.SA",-0.0187934321577182,-0.0187932739861523
"81",9.81,10.11,9.73,10.02,5150300,8.137702,2015-04-30,"GGBR4.SA",0.0100809472120906,0.0100806451612903
"82",10.18,10.48,10.12,10.37,4964900,8.421955,2015-05-04,"GGBR4.SA",0.0349303771506992,0.0349301397205588
"83",10.28,10.85,10.28,10.63,7624600,8.633111,2015-05-05,"GGBR4.SA",0.0250720883690305,0.025072324011572
"84",10.63,10.74,10.23,10.23,7510500,8.308254,2015-05-06,"GGBR4.SA",-0.0376291929989084,-0.0376293508936971
"85",10.13,10.24,9.89,10.03,4096100,8.145823,2015-05-07,"GGBR4.SA",-0.0195505577946943,-0.0195503421309874
"86",10.19,10.52,10.05,10.35,10776200,8.40571,2015-05-08,"GGBR4.SA",0.0319043269169976,0.0319042871385842
"87",10.37,10.67,10.3,10.45,6088800,8.486923,2015-05-11,"GGBR4.SA",0.00966164666637348,0.00966183574879231
"88",10.37,10.55,10.08,10.12,6372400,8.218916,2015-05-12,"GGBR4.SA",-0.0315788183774026,-0.031578947368421
"89",10.15,10.18,9.74,9.92,9598100,8.056485,2015-05-13,"GGBR4.SA",-0.0197630685117113,-0.0197628458498023
"90",9.98,10.06,9.78,10,8010400,8.121457,2015-05-14,"GGBR4.SA",0.00806455917189686,0.00806451612903225
"91",9.98,10.09,9.91,10,4153400,8.121457,2015-05-15,"GGBR4.SA",0,0
"92",10.08,10.08,9.71,9.76,7494300,7.926543,2015-05-18,"GGBR4.SA",-0.0239998808095641,-0.024
"93",9.75,9.76,9.38,9.46,5855600,7.682899,2015-05-19,"GGBR4.SA",-0.0307377377502399,-0.0307377049180326
"94",9.42,9.56,9.29,9.39,6514000,7.62605,2015-05-20,"GGBR4.SA",-0.00739942045313879,-0.00739957716701911
"95",9.37,9.5,9.25,9.48,5093200,7.699143,2015-05-21,"GGBR4.SA",0.00958464736003561,0.00958466453674123
"96",9.48,9.55,9.18,9.19,8730700,7.511159,2015-05-22,"GGBR4.SA",-0.024416223987527,-0.0305907172995782
"97",9.18,9.33,9.1,9.2,2923000,7.519333,2015-05-25,"GGBR4.SA",0.0010882474994871,0.00108813928182805
"98",9.22,9.22,8.94,8.99,8898700,7.347696,2015-05-26,"GGBR4.SA",-0.0228260937506025,-0.0228260869565217
"99",9,9.17,8.82,9.07,7362300,7.413082,2015-05-27,"GGBR4.SA",0.0088988439369293,0.00889877641824244
