"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",24.75,24.75,23.02,24,414800,21.845961,2015-01-02,"IGTA3.SA",NA,NA
"2",24.040001,24.24,23.33,23.610001,374400,21.490963,2015-01-05,"IGTA3.SA",-0.0162500518974651,-0.0162499583333333
"3",23.700001,24.57,23.700001,24.440001,209400,22.246468,2015-01-06,"IGTA3.SA",0.0351545437959202,0.0351545940214064
"4",24.440001,25.08,24.219999,24.5,392800,22.301086,2015-01-07,"IGTA3.SA",0.00245513130443897,0.00245495079971558
"5",24.370001,24.959999,23.9,24.91,247200,22.674284,2015-01-08,"IGTA3.SA",0.0167345213591841,0.016734693877551
"6",24.690001,25.030001,24.1,24.799999,327600,22.574158,2015-01-09,"IGTA3.SA",-0.00441583954756852,-0.00441593737454837
"7",24.57,24.65,24.16,24.219999,234100,22.046215,2015-01-12,"IGTA3.SA",-0.0233870516898128,-0.0233870977172216
"8",24.6,24.9,24.1,24.110001,390200,21.946089,2015-01-13,"IGTA3.SA",-0.00454164127493084,-0.0045416186846251
"9",24.1,24.389999,24.09,24.209999,208200,22.037111,2015-01-14,"IGTA3.SA",0.00414752715164868,0.00414757344887695
"10",24.34,25.16,24.209999,25.040001,439900,22.792618,2015-01-15,"IGTA3.SA",0.0342833958589219,0.0342834380125336
"11",25.1,26.700001,25.07,26.700001,926900,24.303631,2015-01-16,"IGTA3.SA",0.0662939641247002,0.066293927064939
"12",26.41,26.42,25.049999,25.299999,301300,23.029284,2015-01-19,"IGTA3.SA",-0.0524344284193584,-0.052434529871366
"13",25.42,26.01,25.42,25.57,880900,23.275049,2015-01-20,"IGTA3.SA",0.0106718472011549,0.0106719767064023
"14",25.75,26.34,25.389999,26.1,588400,23.757483,2015-01-21,"IGTA3.SA",0.0207275181246664,0.0207274149393821
"15",26.26,27,26.25,26.4,454300,24.030556,2015-01-22,"IGTA3.SA",0.0114941890098375,0.0114942528735631
"16",26.4,26.4,25.950001,26.1,492400,23.757483,2015-01-23,"IGTA3.SA",-0.0113635739431081,-0.0113636363636362
"17",26.4,26.4,24.9,25.120001,352100,22.865438,2015-01-26,"IGTA3.SA",-0.037547959099876,-0.0375478544061304
"18",24.969999,25.690001,24.32,25.25,353200,22.983768,2015-01-27,"IGTA3.SA",0.00517505940625318,0.00517511922073566
"19",25.15,25.35,24.879999,25.15,159100,22.892746,2015-01-28,"IGTA3.SA",-0.00396027318062042,-0.00396039603960396
"20",25.040001,25.16,24.52,24.52,243700,22.319288,2015-01-29,"IGTA3.SA",-0.0250497690403764,-0.0250497017892644
"21",24.65,24.66,23.91,24.299999,462200,22.119034,2015-01-30,"IGTA3.SA",-0.00897223961624583,-0.00897230831973894
"22",24.33,24.780001,23.809999,23.860001,572800,21.718527,2015-02-02,"IGTA3.SA",-0.018106893818238,-0.0181069143253874
"23",24.059999,24.780001,23.99,24.780001,621900,22.555954,2015-02-03,"IGTA3.SA",0.0385581858290849,0.0385582548802073
"24",24.799999,25.9,24.4,25.15,734000,22.892746,2015-02-04,"IGTA3.SA",0.0149314012610595,0.0149313553296466
"25",25.1,25.9,24.99,25.9,443200,23.575432,2015-02-05,"IGTA3.SA",0.0298210620953905,0.0298210735586482
"26",25.799999,25.83,24.870001,25.48,328500,23.193127,2015-02-06,"IGTA3.SA",-0.0162162457935022,-0.0162162162162162
"27",25.18,25.99,24.92,25.99,381500,23.657354,2015-02-09,"IGTA3.SA",0.0200157141380721,0.0200156985871272
"28",25.709999,26.57,25.440001,26,693900,23.666454,2015-02-10,"IGTA3.SA",0.000384658402626137,0.000384763370527175
"29",25.73,25.92,24.75,24.75,642500,22.528643,2015-02-11,"IGTA3.SA",-0.0480769531421987,-0.0480769230769231
"30",24.9,26.200001,24.9,26,822200,23.666454,2015-02-12,"IGTA3.SA",0.0505050836839132,0.0505050505050506
