"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",18.870523,19.179064,18.468319,18.639118,20756703,13.565314,2015-01-02,"ITUB4.SA",NA,NA
"2",18.347107,18.925619,18.203856,18.732782,23532382,13.63348,2015-01-05,"ITUB4.SA",0.00502502190513243,0.00502513048095943
"3",18.732782,19.035812,18.528925,19.035812,27725577,13.854025,2015-01-06,"ITUB4.SA",0.016176720837233,0.0161764547305361
"4",19.283747,20.022038,19.283747,19.724518,23601897,14.355251,2015-01-07,"ITUB4.SA",0.0361790887485767,0.0361794915814466
"5",19.834709,20.110191,19.404959,20.033056,21403024,14.579803,2015-01-08,"ITUB4.SA",0.0156424990409432,0.0156423594229274
"6",19.862259,19.917355,19.101929,19.157024,17063904,13.942245,2015-01-09,"ITUB4.SA",-0.0437288487368451,-0.0437293241730068
"7",19.06336,19.245178,18.666666,18.694214,20358673,13.605406,2015-01-12,"ITUB4.SA",-0.0241595955314227,-0.0241587628642111
"8",18.848484,19.168043,18.672176,18.672176,25571172,13.589371,2015-01-13,"ITUB4.SA",-0.00117857563383261,-0.00117886742924833
"9",18.512396,19.079889,18.4573,18.798899,22520338,13.681601,2015-01-14,"ITUB4.SA",0.00678692192596708,0.00678672908824329
"10",18.842976,19.371901,18.628099,18.633608,24538074,13.561309,2015-01-15,"ITUB4.SA",-0.0087922458782419,-0.00879258939579386
"11",18.683195,19.019283,18.512396,18.920111,25707841,13.769815,2015-01-16,"ITUB4.SA",0.0153750644572732,0.0153756051968035
"12",18.793388,19.024794,18.154268,18.236914,15345825,13.272593,2015-01-19,"ITUB4.SA",-0.0361095628372639,-0.0361095661648074
"13",18.539944,18.60606,18.159779,18.29752,16755354,13.316706,2015-01-20,"ITUB4.SA",0.00332361581493523,0.00332325962605307
"14",18.567493,18.969696,18.275482,18.837465,26013487,13.709673,2015-01-21,"ITUB4.SA",0.0295093246032465,0.0295091903165021
"15",19.057852,19.283747,18.826447,18.931129,24973311,13.777836,2015-01-22,"ITUB4.SA",0.00497189101446849,0.00497221892648492
"16",19.057852,19.283747,18.573002,18.749311,20658511,13.645509,2015-01-23,"ITUB4.SA",-0.00960433844618269,-0.00960418155726472
"17",18.661158,19.008265,18.517906,18.969696,17878113,13.805901,2015-01-26,"ITUB4.SA",0.0117541969302868,0.0117542985979591
"18",18.898071,19.046831,18.490358,18.898071,23152140,13.753782,2015-01-27,"ITUB4.SA",-0.00377512485422005,-0.00377575897895244
"19",18.677685,19.074381,18.506887,18.512396,20946552,13.473088,2015-01-28,"ITUB4.SA",-0.0204084956414169,-0.0204081675849351
"20",18.677685,18.75482,18.077133,18.385674,21490870,13.380859,2015-01-29,"ITUB4.SA",-0.00684542400376231,-0.00684525114955392
"21",18.027548,18.225895,17.889807,18.12672,33786406,13.192395,2015-01-30,"ITUB4.SA",-0.0140845965120774,-0.0140845530057806
"22",18.30303,18.391184,17.988979,18.358126,21219346,13.366901,2015-02-02,"ITUB4.SA",0.013227772515908,0.0127660161352965
"23",19.002754,19.101929,18.776859,18.870523,32962759,13.739993,2015-02-03,"ITUB4.SA",0.0279116303771532,0.0279111822197975
"24",18.853994,19.680441,18.732782,19.564737,45070806,14.245461,2015-02-04,"ITUB4.SA",0.0367880827886884,0.0367882755554789
"25",19.476583,19.713497,19.283747,19.399448,34889563,14.125111,2015-02-05,"ITUB4.SA",-0.00844830504256766,-0.00844831187866213
"26",19.283747,19.454544,19.06336,19.355371,31219089,14.093019,2015-02-06,"ITUB4.SA",-0.00227198214583946,-0.00227207495800896
"27",19.179064,19.537189,19.179064,19.476583,22649748,14.181277,2015-02-09,"ITUB4.SA",0.00626253324429626,0.00626244777224882
"28",19.504131,19.641872,19.228649,19.228649,22311976,14.000753,2015-02-10,"ITUB4.SA",-0.0127297421804821,-0.012729851021609
"29",18.9146,19.008265,18.242424,18.44628,22426321,13.764065,2015-02-11,"ITUB4.SA",-0.0169053764465382,-0.0406876738974224
"30",18.644629,19.024794,18.567493,18.931129,21133678,14.125856,2015-02-12,"ITUB4.SA",0.0262851853721993,0.0262843782052531
"31",19.052341,19.570248,18.980717,19.559229,22696030,14.594526,2015-02-13,"ITUB4.SA",0.0331781663355482,0.0331781585768076
"32",19.950413,20.027548,19.564737,19.674931,21073239,14.680859,2015-02-18,"ITUB4.SA",0.00591543706181352,0.00591546834489254
"33",19.597795,19.873278,19.476583,19.66942,14219799,14.676744,2015-02-19,"ITUB4.SA",-0.000280296949926484,-0.000280102634159229
"34",19.834709,19.84573,19.432507,19.774103,11142829,14.754854,2015-02-20,"ITUB4.SA",0.00532202510311564,0.00532211931007631
"35",19.471073,20.104683,19.471073,19.966942,17181153,14.898746,2015-02-23,"ITUB4.SA",0.00975218053665583,0.00975209848962555
"36",20.099173,20.176308,19.724518,20.176308,18547666,15.054963,2015-02-24,"ITUB4.SA",0.0104852448655748,0.0104856317006379
