"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",14.49,14.49,13.92,14.29,1826200,11.543543,2015-01-02,"KLBN11.SA",NA,NA
"2",14.16,14.17,13.94,13.94,3533300,11.26081,2015-01-05,"KLBN11.SA",-0.0244927402271556,-0.0244926522043387
"3",13.99,14.51,13.85,14.4,3543400,11.632401,2015-01-06,"KLBN11.SA",0.0329986031200242,0.0329985652797704
"4",14.43,14.62,14.34,14.55,2961000,11.753571,2015-01-07,"KLBN11.SA",0.0104165941322003,0.0104166666666667
"5",14.5,14.59,14.42,14.54,2011700,11.745493,2015-01-08,"KLBN11.SA",-0.000687280486926123,-0.000687285223367806
"6",14.58,14.58,14.27,14.55,1502800,11.753571,2015-01-09,"KLBN11.SA",0.000687753166257243,0.000687757909216158
"7",14.49,14.58,14.34,14.46,1066700,11.68087,2015-01-12,"KLBN11.SA",-0.00618543930180881,-0.00618556701030926
"8",14.57,14.74,14.27,14.33,2019800,11.575852,2015-01-13,"KLBN11.SA",-0.00899059744693687,-0.0089903181189489
"9",14.33,14.4,14.04,14.05,2197900,11.349668,2015-01-14,"KLBN11.SA",-0.0195392961140138,-0.0195394277739008
"10",14.04,14.05,13.68,13.95,2802600,11.268888,2015-01-15,"KLBN11.SA",-0.00711738880820112,-0.00711743772242002
"11",14.01,14.01,13.73,13.95,2250100,11.268888,2015-01-16,"KLBN11.SA",0,0
"12",13.81,13.93,13.61,13.86,2650200,11.196185,2015-01-19,"KLBN11.SA",-0.00645165698691841,-0.00645161290322582
"13",14.08,14.08,13.62,13.7,2113700,11.066937,2015-01-20,"KLBN11.SA",-0.0115439321518893,-0.0115440115440115
"14",13.66,13.69,13.3,13.3,2531900,10.743812,2015-01-21,"KLBN11.SA",-0.0291973289447658,-0.0291970802919707
"15",13.52,13.52,13.09,13.2,2265500,10.663033,2015-01-22,"KLBN11.SA",-0.00751865352818903,-0.00751879699248126
"16",13.1,13.24,12.94,13.11,2970800,10.590331,2015-01-23,"KLBN11.SA",-0.0068181351403489,-0.00681818181818183
"17",13.08,13.41,13.05,13.18,1769800,10.646878,2015-01-26,"KLBN11.SA",0.00533949316598314,0.0053394355453853
"18",13.1,13.48,12.95,13.36,1317400,10.792282,2015-01-27,"KLBN11.SA",0.0136569612237505,0.0136570561456753
"19",13.24,13.46,13.12,13.39,1677100,10.816518,2015-01-28,"KLBN11.SA",0.00224567890275673,0.0022455089820359
"20",13.37,13.72,13.19,13.7,2629200,11.066937,2015-01-29,"KLBN11.SA",0.023151535457159,0.0231516056758774
"21",13.56,13.73,13.27,13.73,3764600,11.09117,2015-01-30,"KLBN11.SA",0.00218967542690462,0.00218978102189782
"22",13.7,14.17,13.59,14.03,3925800,11.333512,2015-02-02,"KLBN11.SA",0.0218499941845631,0.021849963583394
"23",14.19,14.4,14.11,14.27,3588200,11.527385,2015-02-03,"KLBN11.SA",0.0171061715027081,0.0171062009978618
"24",14.35,14.38,14.01,14.3,2431400,11.551618,2015-02-04,"KLBN11.SA",0.00210221138619016,0.00210231254379822
"25",14.16,14.6,14.16,14.53,2904500,11.737414,2015-02-05,"KLBN11.SA",0.016083980616395,0.0160839160839159
"26",14.38,14.72,14.34,14.66,2685900,11.842426,2015-02-06,"KLBN11.SA",0.00894677481768991,0.00894700619408129
"27",14.65,15.02,14.63,15,4005300,12.117083,2015-02-09,"KLBN11.SA",0.0231926296182894,0.0231923601637107
"28",14.93,15.09,14.85,14.95,2499200,12.076693,2015-02-10,"KLBN11.SA",-0.00333331050055519,-0.00333333333333341
"29",15.17,15.25,14.86,15.08,3570400,12.181708,2015-02-11,"KLBN11.SA",0.00869567521506087,0.00869565217391299
"30",15.16,15.49,14.99,15.11,3995400,12.205943,2015-02-12,"KLBN11.SA",0.00198945829271224,0.00198938992042441
"31",15.06,15.31,14.85,15.07,2670300,12.17363,2015-02-13,"KLBN11.SA",-0.00264731696682508,-0.00264725347452011
"32",15.18,15.42,15.01,15.09,2773200,12.189782,2015-02-18,"KLBN11.SA",0.00132680227672433,0.00132714001327128
"33",15.2,15.2,14.87,14.95,2236800,12.076693,2015-02-19,"KLBN11.SA",-0.00927736033343329,-0.0092776673293572
"34",14.9,15.26,14.78,15.23,1847300,12.302877,2015-02-20,"KLBN11.SA",0.0187289682697076,0.0187290969899667
"35",15.15,15.3,14.97,15.29,1656500,12.351348,2015-02-23,"KLBN11.SA",0.00393981017610745,0.00393959290873269
"36",15.18,15.5,15.07,15.47,4934200,12.49675,2015-02-24,"KLBN11.SA",0.0117721563670621,0.0117724002616091
"37",15.26,15.7,15.16,15.61,2229200,12.609845,2015-02-25,"KLBN11.SA",0.00904995298777678,0.00904977375565608
"38",15.56,15.96,15.49,15.94,2091900,12.87642,2015-02-26,"KLBN11.SA",0.0211402281312736,0.0211402946828956
"39",15.9,16.34,15.78,15.78,4919000,12.747171,2015-02-27,"KLBN11.SA",-0.0100376502164421,-0.0100376411543287
"40",15.94,16.48,15.78,16.299999,5227600,13.167229,2015-03-02,"KLBN11.SA",0.0329530371876239,0.0329530418250952
"41",16.41,16.629999,16.18,16.549999,3164800,13.36918,2015-03-03,"KLBN11.SA",0.0153373955902187,0.0153374242538298
"42",16.5,17.15,16.459999,17.120001,4457600,13.829631,2015-03-04,"KLBN11.SA",0.0344412297538068,0.0344412105402543
"43",17.08,17.48,16.99,17.25,7554800,13.934647,2015-03-05,"KLBN11.SA",0.00759355039913934,0.00759339908917078
"44",17.4,17.73,17.18,17.610001,3966100,14.225456,2015-03-06,"KLBN11.SA",0.0208694917065355,0.0208696231884058
"45",17.57,18.1,17.540001,18.01,3583600,14.548577,2015-03-09,"KLBN11.SA",0.0227142806529366,0.0227143087612545
"46",17.93,18.01,17.700001,17.700001,3715400,14.298157,2015-03-10,"KLBN11.SA",-0.0172126799755055,-0.0172126041088285
"47",17.549999,17.99,17.379999,17.99,2296800,14.532423,2015-03-11,"KLBN11.SA",0.01638434939552,0.0163841233681286
"48",17.93,18.200001,17.440001,17.66,2646800,14.265848,2015-03-12,"KLBN11.SA",-0.0183434655046856,-0.0183435241801
"49",17.540001,18.389999,17.51,18.389999,3215000,14.855544,2015-03-13,"KLBN11.SA",0.0413362037784224,0.0413362967157418
"50",18.299999,18.370001,17.67,17.700001,4321200,14.298157,2015-03-16,"KLBN11.SA",-0.0375204704721686,-0.0375202848026256
"51",17.9,17.940001,17.559999,17.790001,2554300,14.370865,2015-03-17,"KLBN11.SA",0.00508513090183582,0.00508474547543813
"52",17.790001,17.85,17.18,17.25,3437200,13.934647,2015-03-18,"KLBN11.SA",-0.0303543314894407,-0.0303541860396748
"53",17.4,17.700001,16.940001,17.459999,3759200,14.104283,2015-03-19,"KLBN11.SA",0.0121736847729261,0.0121738550724637
"54",17.389999,17.629999,17.25,17.52,2986900,14.243597,2015-03-20,"KLBN11.SA",0.00987742517645174,0.00343648358742743
"55",17.48,17.6,17.35,17.370001,4683800,14.12165,2015-03-23,"KLBN11.SA",-0.00856153119187508,-0.0085615867579909
