"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",9.99,9.99,9.35,9.36,49559500,7.057713,2015-01-02,"PETR4.SA",NA,NA
"2",9.14,9.19,8.53,8.56,78385100,6.45449,2015-01-05,"PETR4.SA",-0.0854700382404329,-0.0854700854700854
"3",8.71,8.83,8.04,8.28,84723300,6.243361,2015-01-06,"PETR4.SA",-0.0327104077936444,-0.0327102803738319
"4",8.56,8.73,8.36,8.67,85531000,6.537433,2015-01-07,"PETR4.SA",0.0471015531538221,0.0471014492753623
"5",8.79,9.39,8.74,9.23,83306300,6.959688,2015-01-08,"PETR4.SA",0.0645903369105274,0.0645905420991926
"6",9.2,9.51,8.93,9.51,50813100,7.170816,2015-01-09,"PETR4.SA",0.0303358426412219,0.0303358613217768
"7",9.27,9.58,8.79,8.84,58728900,6.665619,2015-01-12,"PETR4.SA",-0.0704518146888722,-0.0704521556256572
"8",8.9,9.39,8.85,9.09,65834800,6.854125,2015-01-13,"PETR4.SA",0.0282803442560997,0.0282805429864252
"9",8.88,8.96,8.64,8.91,55736500,6.7184,2015-01-14,"PETR4.SA",-0.0198019440847664,-0.0198019801980198
"10",9,9.39,8.87,9.31,80907800,7.020011,2015-01-15,"PETR4.SA",0.044893278161467,0.0448933782267116
"11",9.46,9.63,9.24,9.44,56978300,7.118034,2015-01-16,"PETR4.SA",0.0139633684334681,0.0139634801288935
"12",9.35,9.54,9.15,9.17,30873100,6.914448,2015-01-19,"PETR4.SA",-0.0286014368574243,-0.0286016949152542
"13",9.6,9.85,9.15,9.31,72842900,7.020011,2015-01-20,"PETR4.SA",0.0152670176997498,0.0152671755725191
"14",9.45,9.92,9.32,9.9,48003500,7.464889,2015-01-21,"PETR4.SA",0.0633728351707712,0.0633727175080558
"15",10.1,10.46,9.97,10.23,74782400,7.713719,2015-01-22,"PETR4.SA",0.0333333824521704,0.0333333333333334
"16",10.11,10.41,9.88,9.98,43659400,7.525211,2015-01-23,"PETR4.SA",-0.0244380175113976,-0.0244379276637341
"17",9.79,9.97,9.66,9.83,33202100,7.412107,2015-01-26,"PETR4.SA",-0.0150300104541919,-0.0150300601202406
"18",9.72,10.37,9.53,10.14,58750400,7.645854,2015-01-27,"PETR4.SA",0.0315358372457386,0.0315361139369279
"19",9.43,9.54,8.95,9.11,106337900,6.869205,2015-01-28,"PETR4.SA",-0.10157779628018,-0.101577909270217
"20",9.05,9.08,8.34,8.67,111506300,6.537433,2015-01-29,"PETR4.SA",-0.0482984566627433,-0.0482985729967068
"21",8.2,8.34,8.08,8.3,87497200,6.258441,2015-01-30,"PETR4.SA",-0.0426760779039723,-0.0426758938869665
"22",8.46,8.79,8.13,8.79,57585100,6.627917,2015-02-02,"PETR4.SA",0.0590364277621216,0.059036144578313
"23",9.01,10,9.01,9.97,98061700,7.517672,2015-02-03,"PETR4.SA",0.1342435338282,0.134243458475541
"24",10.3,10.78,9.56,10.02,117595000,7.555372,2015-02-04,"PETR4.SA",0.00501485034196758,0.00501504513540607
"25",9.86,10.29,9.7,9.83,78992700,7.412107,2015-02-05,"PETR4.SA",-0.0189620047828222,-0.0189620758483033
"26",9.8,9.81,8.87,9.12,117747100,6.876746,2015-02-06,"PETR4.SA",-0.0722279103634095,-0.0722278738555443
"27",8.8,9.47,8.72,9.4,72534200,7.087873,2015-02-09,"PETR4.SA",0.0307015847320811,0.0307017543859651
"28",9.22,9.8,8.89,8.91,75478700,6.7184,2015-02-10,"PETR4.SA",-0.0521274859185541,-0.0521276595744681
"29",8.94,9.19,8.81,9.08,48681100,6.846585,2015-02-11,"PETR4.SA",0.0190796915932365,0.0190796857463524
"30",9.35,9.54,9.27,9.45,61706000,7.125576,2015-02-12,"PETR4.SA",0.0407489281152573,0.0407488986784139
"31",9.68,10.1,9.66,10.03,72282500,7.562912,2015-02-13,"PETR4.SA",0.0613755295010536,0.0613756613756613
"32",10.16,10.34,10.01,10.04,42896700,7.570454,2015-02-18,"PETR4.SA",0.000997234927498925,0.000997008973080638
"33",9.96,9.97,9.65,9.71,38492400,7.321623,2015-02-19,"PETR4.SA",-0.0328687024582673,-0.0328685258964142
"34",9.82,9.9,9.53,9.64,35272700,7.268843,2015-02-20,"PETR4.SA",-0.0072087841725802,-0.0072090628218332
"35",9.55,9.59,9.39,9.5,41168500,7.163277,2015-02-23,"PETR4.SA",-0.0145230815963422,-0.0145228215767635
"36",9.65,9.9,9.59,9.9,48578000,7.464889,2015-02-24,"PETR4.SA",0.0421053101813598,0.0421052631578949
