"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",5.04,5.074,4.838,4.998,5479500,4.674451,2015-01-02,"RADL3.SA",NA,NA
"2",5.002,5.068,4.912,4.964,4621500,4.642652,2015-01-05,"RADL3.SA",-0.00680272399903226,-0.00680272108843538
"3",4.974,5.174,4.974,5.108,5810500,4.777329,2015-01-06,"RADL3.SA",0.0290086355815597,0.0290088638195003
"4",5.064,5.22,5.06,5.196,4158500,4.859632,2015-01-07,"RADL3.SA",0.0172278275161708,0.0172278778386845
"5",5.176,5.228,5.144,5.21,2228500,4.872727,2015-01-08,"RADL3.SA",0.00269464848367118,0.00269438029253277
"6",5.168,5.23,5.1,5.13,1934500,4.797906,2015-01-09,"RADL3.SA",-0.0153550568295741,-0.0153550863723608
"7",5.088,5.364,5.086,5.364,3554500,5.016757,2015-01-12,"RADL3.SA",0.0456138573786147,0.0456140350877192
"8",5.32,5.348,5.202,5.25,8175500,4.910138,2015-01-13,"RADL3.SA",-0.0212525741230839,-0.0212527964205816
"9",5.256,5.448,5.202,5.202,3836500,4.865244,2015-01-14,"RADL3.SA",-0.00914312387961402,-0.00914285714285712
"10",5.222,5.3,5.194,5.2,3778000,4.863375,2015-01-15,"RADL3.SA",-0.00038415339497877,-0.000384467512495101
"11",5.222,5.388,5.194,5.374,3523500,5.026109,2015-01-16,"RADL3.SA",0.0334611252473849,0.0334615384615384
"12",5.332,5.4,5.22,5.222,5054000,4.88395,2015-01-19,"RADL3.SA",-0.0282841060550021,-0.0282843319687383
"13",5.256,5.34,5.236,5.306,1940000,4.962512,2015-01-20,"RADL3.SA",0.0160857502636187,0.0160857908847185
"14",5.33,5.38,5.222,5.25,5230000,4.910138,2015-01-21,"RADL3.SA",-0.0105539291391135,-0.0105540897097626
"15",5.276,5.308,5.13,5.22,5388500,4.882079,2015-01-22,"RADL3.SA",-0.00571450333982459,-0.00571428571428578
"16",5.166,5.196,5.086,5.184,3066500,4.848409,2015-01-23,"RADL3.SA",-0.00689665202058387,-0.00689655172413783
"17",5.122,5.26,5.122,5.23,2084500,4.891432,2015-01-26,"RADL3.SA",0.00887363256688944,0.00887345679012341
"18",5.172,5.198,5.02,5.14,3583000,4.807258,2015-01-27,"RADL3.SA",-0.0172084575641652,-0.0172084130019122
"19",5.14,5.23,5.09,5.184,2293500,4.848409,2015-01-28,"RADL3.SA",0.00856018129253733,0.00856031128404688
"20",5.174,5.218,5.14,5.18,3767500,4.844669,2015-01-29,"RADL3.SA",-0.000771387067386553,-0.000771604938271664
"21",5.192,5.22,5.078,5.17,6168000,4.835316,2015-01-30,"RADL3.SA",-0.00193057564923427,-0.00193050193050193
"22",5.164,5.198,5.12,5.18,3250500,4.844669,2015-02-02,"RADL3.SA",0.00193430998098165,0.0019342359767891
"23",5.18,5.3,5.16,5.28,6720000,4.938197,2015-02-03,"RADL3.SA",0.0193053436674415,0.0193050193050195
"24",5.25,5.334,5.05,5.076,6050500,4.747402,2015-02-04,"RADL3.SA",-0.0386365712019994,-0.0386363636363638
"25",5.078,5.2,5.068,5.1,3073500,4.769846,2015-02-05,"RADL3.SA",0.00472763840096113,0.00472813238770686
"26",5.102,5.198,5.06,5.154,2223500,4.820352,2015-02-06,"RADL3.SA",0.0105886018123016,0.0105882352941178
"27",5.152,5.26,5.106,5.26,4785000,4.91949,2015-02-09,"RADL3.SA",0.0205665478371704,0.0205665502522312
"28",5.238,5.364,5.186,5.2,4053000,4.863375,2015-02-10,"RADL3.SA",-0.0114066702036187,-0.0114068441064638
"29",5.204,5.312,5.158,5.164,3393500,4.829704,2015-02-11,"RADL3.SA",-0.00692338139666371,-0.00692307692307703
"30",5.232,5.3,5.16,5.3,5929000,4.956902,2015-02-12,"RADL3.SA",0.0263366036510726,0.0263361735089078
"31",5.258,5.32,5.184,5.24,4400500,4.900784,2015-02-13,"RADL3.SA",-0.0113211840782813,-0.011320754716981
"32",5.312,5.482,5.246,5.43,8003000,5.078484,2015-02-18,"RADL3.SA",0.0362595046017129,0.0362595419847327
"33",5.452,5.574,5.432,5.524,3605000,5.166399,2015-02-19,"RADL3.SA",0.0173112684809089,0.0173112338858197
"34",5.592,5.596,5.472,5.526,1972500,5.16827,2015-02-20,"RADL3.SA",0.000362147793850021,0.000362056480810891
"35",5.546,5.632,5.486,5.55,2823500,5.190718,2015-02-23,"RADL3.SA",0.00434342633028084,0.00434310532030402
"36",5.53,5.584,5.46,5.52,5371500,5.162658,2015-02-24,"RADL3.SA",-0.00540580320487449,-0.00540540540540546
"37",5.522,5.65,5.496,5.608,2728000,5.244961,2015-02-25,"RADL3.SA",0.0159419818240913,0.0159420289855072
"38",5.634,5.73,5.592,5.646,4034500,5.280503,2015-02-26,"RADL3.SA",0.00677640882363106,0.00677603423680462
"39",5.68,5.842,5.66,5.7,4409000,5.347666,2015-02-27,"RADL3.SA",0.0127190534689592,0.00956429330499464
"40",5.7,5.722,5.514,5.58,6823000,5.235085,2015-03-02,"RADL3.SA",-0.0210523619089151,-0.0210526315789474
"41",5.628,5.654,5.56,5.608,3070000,5.261353,2015-03-03,"RADL3.SA",0.00501768357151788,0.00501792114695343
"42",5.592,5.616,5.472,5.6,2107000,5.253848,2015-03-04,"RADL3.SA",-0.00142643916878415,-0.00142653352353783
"43",5.592,5.652,5.55,5.602,3830500,5.255723,2015-03-05,"RADL3.SA",0.000356881280158872,0.000357142857142945
"44",5.606,5.606,5.446,5.508,2196000,5.167535,2015-03-06,"RADL3.SA",-0.016779423116477,-0.0167797215280258
"45",5.458,5.512,5.368,5.46,2980500,5.122501,2015-03-09,"RADL3.SA",-0.00871479341697734,-0.00871459694989107
"46",5.444,5.468,5.348,5.36,3083500,5.028683,2015-03-10,"RADL3.SA",-0.0183148817345277,-0.0183150183150182
