"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",13.25,13.37,12.35,12.72,2673400,8.376993,2015-01-02,"SANB11.SA",NA,NA
"2",12.69,12.77,12.3,12.63,1611900,8.317721,2015-01-05,"SANB11.SA",-0.00707556995690461,-0.00707547169811318
"3",12.64,12.74,12.21,12.72,1081300,8.376993,2015-01-06,"SANB11.SA",0.00712599040049544,0.00712589073634207
"4",12.78,13.57,12.7,13.25,1044300,8.726035,2015-01-07,"SANB11.SA",0.0416667412757774,0.0416666666666665
"5",13.41,13.46,12.85,13.03,737400,8.581148,2015-01-08,"SANB11.SA",-0.0166039902429911,-0.0166037735849057
"6",12.91,13.08,12.61,12.9,550100,8.495537,2015-01-09,"SANB11.SA",-0.00997663715857133,-0.00997697620874893
"7",12.8,12.84,12.5,12.64,754600,8.324306,2015-01-12,"SANB11.SA",-0.0201554063033332,-0.0201550387596899
"8",12.75,12.82,12.44,12.61,1384300,8.304548,2015-01-13,"SANB11.SA",-0.00237353119887707,-0.00237341772151911
"9",12.3,12.89,12.23,12.78,781100,8.416509,2015-01-14,"SANB11.SA",0.0134818896826172,0.0134813639968279
"10",12.84,13.26,12.8,13.2,1554900,8.693107,2015-01-15,"SANB11.SA",0.0328637443386564,0.0328638497652582
"11",13.16,13.46,13.04,13.15,1092300,8.660176,2015-01-16,"SANB11.SA",-0.00378817377952434,-0.00378787878787867
"12",13.01,13.16,12.7,12.78,480200,8.416509,2015-01-19,"SANB11.SA",-0.0281364951474428,-0.0281368821292777
"13",12.92,13.25,12.79,13.1,909800,8.627249,2015-01-20,"SANB11.SA",0.0250388848868339,0.0250391236306728
"14",13.15,13.38,12.88,13.24,837800,8.719448,2015-01-21,"SANB11.SA",0.0106869524688575,0.0106870229007634
"15",13.46,13.77,13.07,13.19,1066500,8.686521,2015-01-22,"SANB11.SA",-0.00377627115844936,-0.00377643504531733
"16",13.44,13.44,12.86,13.16,577900,8.666763,2015-01-23,"SANB11.SA",-0.00227455847974134,-0.00227445034116747
"17",12.94,13.57,12.92,13.5,1038000,8.890676,2015-01-26,"SANB11.SA",0.025835828209448,0.0258358662613982
"18",13.35,13.41,12.82,13.25,1373200,8.726035,2015-01-27,"SANB11.SA",-0.0185183893778156,-0.0185185185185185
"19",13.05,13.55,12.87,13.24,1114700,8.719448,2015-01-28,"SANB11.SA",-0.000754867474173526,-0.000754716981132053
"20",13.5,13.62,13.13,13.4,1068900,8.824818,2015-01-29,"SANB11.SA",0.0120844805772109,0.0120845921450152
"21",13.21,13.21,12.42,12.43,1169600,8.186007,2015-01-30,"SANB11.SA",-0.0723880084552453,-0.0723880597014925
"22",12.41,12.6,12.25,12.6,956300,8.297963,2015-02-02,"SANB11.SA",0.0136765091942872,0.0136765888978279
