"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",17.15,17.15,16.620001,16.799999,2035100,13.981675,2015-01-02,"SBSP3.SA",NA,NA
"2",16.639999,16.940001,16.5,16.799999,1391400,13.981675,2015-01-05,"SBSP3.SA",0,0
"3",16.809999,17.18,16.549999,16.75,4882200,13.940063,2015-01-06,"SBSP3.SA",-0.00297618132305311,-0.00297613112953155
"4",17.059999,17.790001,16.84,17.1,1243600,14.23135,2015-01-07,"SBSP3.SA",0.0208956731400711,0.0208955223880598
"5",17.309999,17.450001,16.75,17.16,1025000,14.281284,2015-01-08,"SBSP3.SA",0.003508732481458,0.00350877192982457
"6",17.02,17.049999,16.76,16.76,797200,13.948387,2015-01-09,"SBSP3.SA",-0.0233100189030622,-0.0233100233100232
"7",16.799999,16.799999,16.389999,16.530001,2036800,13.756972,2015-01-12,"SBSP3.SA",-0.0137230921396145,-0.0137230906921243
"8",16.4,16.68,15.6,15.6,4460200,12.982985,2015-01-13,"SBSP3.SA",-0.0562614360194962,-0.0562614001051784
"9",15.28,15.52,15.01,15.41,1776300,12.82486,2015-01-14,"SBSP3.SA",-0.0121794025025832,-0.0121794871794871
"10",15.43,15.9,15.43,15.67,1643300,13.041243,2015-01-15,"SBSP3.SA",0.0168721529903642,0.0168721609344582
"11",15.79,16.15,15.69,15.92,1679800,13.249303,2015-01-16,"SBSP3.SA",0.0159540007037673,0.0159540523292916
"12",15.76,15.91,15.12,15.12,463000,12.583509,2015-01-19,"SBSP3.SA",-0.0502512471788139,-0.050251256281407
"13",15.25,15.77,15.1,15.1,852300,12.566864,2015-01-20,"SBSP3.SA",-0.00132276299083178,-0.00132275132275128
"14",15.22,15.55,15.01,15.49,1360300,12.89144,2015-01-21,"SBSP3.SA",0.0258279233387104,0.0258278145695365
"15",15.64,15.92,15.17,15.28,800700,12.716666,2015-01-22,"SBSP3.SA",-0.0135573683002054,-0.013557133634603
"16",15.64,15.92,13.5,13.5,1632700,11.235276,2015-01-23,"SBSP3.SA",-0.116492011349516,-0.116492146596859
"17",13.3,13.31,12.93,13.25,2078500,11.027216,2015-01-26,"SBSP3.SA",-0.0185184591815992,-0.0185185185185185
"18",12.95,13.97,12.78,13.77,1301300,11.459981,2015-01-27,"SBSP3.SA",0.0392451730337016,0.0392452830188679
"19",13.71,13.71,13.07,13.3,4387900,11.068828,2015-01-28,"SBSP3.SA",-0.0341320810217749,-0.0341321713870733
"20",13.12,13.7,12.86,13.49,3568600,11.226952,2015-01-29,"SBSP3.SA",0.0142855232731054,0.0142857142857142
"21",13.23,13.33,12.63,13.3,2612500,11.068828,2015-01-30,"SBSP3.SA",-0.0140843213723547,-0.0140845070422535
"22",13.3,13.31,12.95,13.27,717100,11.043861,2015-02-02,"SBSP3.SA",-0.0022556136927957,-0.0022556390977444
"23",13.35,13.55,13.06,13.47,2519300,11.210308,2015-02-03,"SBSP3.SA",0.0150714501024596,0.0150715900527507
"24",13.51,14.13,13.39,14.1,2361400,11.734622,2015-02-04,"SBSP3.SA",0.0467707042482688,0.0467706013363027
"25",13.95,14.23,13.75,14.05,1487000,11.69301,2015-02-05,"SBSP3.SA",-0.00354608780751531,-0.00354609929078009
"26",13.85,13.98,13.3,13.98,1093500,11.634753,2015-02-06,"SBSP3.SA",-0.00498220731873134,-0.00498220640569402
"27",13.77,14.21,13.41,14.02,857700,11.668044,2015-02-09,"SBSP3.SA",0.00286134136238214,0.0028612303290414
"28",13.97,14.44,13.83,14.25,1293900,11.859458,2015-02-10,"SBSP3.SA",0.0164049775609347,0.0164051355206847
"29",14.25,14.58,14.05,14.44,1467700,12.017584,2015-02-11,"SBSP3.SA",0.0133333243391054,0.0133333333333332
"30",14.66,15.12,14.52,14.9,1161000,12.400415,2015-02-12,"SBSP3.SA",0.031855903815609,0.0318559556786704
"31",14.68,15.35,14.66,15.35,1572100,12.774923,2015-02-13,"SBSP3.SA",0.0302012472969653,0.0302013422818792
"32",15.44,15.88,15.26,15.7,1679200,13.066209,2015-02-18,"SBSP3.SA",0.022801389879219,0.0228013029315961
"33",15.69,16,15.6,15.74,576800,13.099499,2015-02-19,"SBSP3.SA",0.00254779331939359,0.00254777070063694
"34",15.78,15.91,15.41,15.6,1162600,12.982985,2015-02-20,"SBSP3.SA",-0.00889453863846246,-0.00889453621346892
"35",15.68,16.34,15.33,16.09,1336200,13.390784,2015-02-23,"SBSP3.SA",0.0314102650507568,0.0314102564102565
"36",16.059999,16.32,15.93,16.32,1054200,13.5822,2015-02-24,"SBSP3.SA",0.0142946073956536,0.0142945929148539
"37",16.1,16.620001,16.1,16.610001,647300,13.82355,2015-02-25,"SBSP3.SA",0.0177695807748375,0.017769669117647
"38",16.639999,17.120001,16.200001,17.120001,1127800,14.247993,2015-02-26,"SBSP3.SA",0.0307043415041723,0.0307043930942568
"39",17.18,17.6,16.74,16.940001,1077400,14.098191,2015-02-27,"SBSP3.SA",-0.010513901852703,-0.0105140180774522
"40",16.790001,16.959999,16.35,16.52,874600,13.74865,2015-03-02,"SBSP3.SA",-0.0247933227745318,-0.0247934459980256
"41",16.48,16.75,16.27,16.59,654200,13.806907,2015-03-03,"SBSP3.SA",0.00423728875198659,0.00423728813559321
"42",16.209999,16.549999,16.040001,16.18,2044700,13.465687,2015-03-04,"SBSP3.SA",-0.0247137175617972,-0.0247136829415311
"43",16.25,16.41,16,16.25,1064900,13.523943,2015-03-05,"SBSP3.SA",0.00432625531842512,0.00432632880098893
"44",16.209999,16.549999,16,16.280001,715900,13.548911,2015-03-06,"SBSP3.SA",0.00184620713056849,0.00184621538461527
"45",16.280001,16.5,16.08,16.18,1605800,13.465687,2015-03-09,"SBSP3.SA",-0.00614248628542913,-0.00614256719025996
"46",15.71,16.66,15.59,16.299999,1537200,13.565556,2015-03-10,"SBSP3.SA",0.00741655438745892,0.007416501854141
"47",16.139999,16.280001,15.88,16.09,855500,13.390784,2015-03-11,"SBSP3.SA",-0.0128835117410595,-0.0128833750235199
"48",16.35,17.139999,16.35,17,895400,14.148125,2015-03-12,"SBSP3.SA",0.0565568827038059,0.0565568676196395
"49",16.5,17.17,16.35,17.17,1501700,14.289609,2015-03-13,"SBSP3.SA",0.0100001943720458,0.01
"50",17.24,17.549999,16.77,17,1063600,14.148125,2015-03-16,"SBSP3.SA",-0.00990118064112178,-0.00990099009901002
"51",16.99,17.42,16.77,17.290001,1116500,14.389477,2015-03-17,"SBSP3.SA",0.0170589389053319,0.0170588823529412
"52",17.110001,17.84,16.9,17.68,1133100,14.714049,2015-03-18,"SBSP3.SA",0.0225562054826594,0.0225563318359554
"53",18.059999,18.299999,17.709999,17.860001,853700,14.863855,2015-03-19,"SBSP3.SA",0.0101811540793428,0.0101810520361991
"54",18.1,19.17,18.1,19.1,1596700,15.895838,2015-03-20,"SBSP3.SA",0.0694290276647613,0.0694288314989457
"55",19.01,20,19.01,19.4,1258700,16.145504,2015-03-23,"SBSP3.SA",0.015706375467591,0.0157068062827224
"56",19.4,19.870001,18.559999,18.780001,2300100,15.629518,2015-03-24,"SBSP3.SA",-0.0319584944514584,-0.0319587113402062
"57",18.98,18.98,18.030001,18.48,884400,15.379845,2015-03-25,"SBSP3.SA",-0.0159744529549791,-0.0159744932920929
"58",18.200001,18.370001,17.41,17.799999,1048100,14.81392,2015-03-26,"SBSP3.SA",-0.0367965346854926,-0.0367965909090909
"59",17.280001,17.85,16.700001,16.85,1383700,14.02329,2015-03-27,"SBSP3.SA",-0.053370748593215,-0.0533707333354344
"60",16.85,16.98,16.42,16.73,1054200,13.923418,2015-03-30,"SBSP3.SA",-0.0071218665520002,-0.00712166172106832
"61",16.85,17.809999,16.85,17.709999,2426500,14.739018,2015-03-31,"SBSP3.SA",0.0585775705362002,0.0585773460848775
