"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",11.7,12.03,11.63,11.74,2882100,9.747597,2015-01-02,"TIMS3.SA",NA,NA
"2",11.44,11.77,11.36,11.46,3257400,9.515114,2015-01-05,"TIMS3.SA",-0.0238502884351908,-0.0238500851788755
"3",11.46,11.58,11.28,11.44,2780200,9.498509,2015-01-06,"TIMS3.SA",-0.00174511834540292,-0.00174520069808037
"4",11.42,11.65,11.22,11.48,1887400,9.531721,2015-01-07,"TIMS3.SA",0.00349654877412853,0.00349650349650354
"5",11.58,12.2,11.43,12,2112100,9.963473,2015-01-08,"TIMS3.SA",0.0452963321104343,0.0452961672473868
"6",11.91,11.99,11.61,11.73,1344300,9.739292,2015-01-09,"TIMS3.SA",-0.0225002867975855,-0.0225
"7",11.5,11.81,11.48,11.67,1866700,9.689476,2015-01-12,"TIMS3.SA",-0.00511495086090441,-0.00511508951406658
"8",11.69,11.86,11.44,11.72,1967900,9.730991,2015-01-13,"TIMS3.SA",0.00428454541814216,0.00428449014567267
"9",11.46,11.8,11.45,11.69,2607800,9.706079,2015-01-14,"TIMS3.SA",-0.00256006813694498,-0.00255972696245743
"10",11.64,12.02,11.63,11.97,2482900,9.93856,2015-01-15,"TIMS3.SA",0.023952102594673,0.0239520958083834
"11",11.81,12.13,11.81,11.91,2178000,9.888743,2015-01-16,"TIMS3.SA",-0.00501249678021776,-0.0050125313283208
"12",11.83,11.83,11.35,11.42,929200,9.481904,2015-01-19,"TIMS3.SA",-0.0411416294265105,-0.0411418975650714
"13",11.62,11.95,11.56,11.9,2637800,9.880443,2015-01-20,"TIMS3.SA",0.0420315371258768,0.042031523642732
"14",11.82,12.3,11.77,12.28,4069900,10.195951,2015-01-21,"TIMS3.SA",0.0319325763025,0.0319327731092436
"15",12.46,12.55,12.08,12.48,3023000,10.362009,2015-01-22,"TIMS3.SA",0.0162866612442527,0.0162866449511401
"16",12.24,12.71,12.21,12.33,2475100,10.237465,2015-01-23,"TIMS3.SA",-0.0120192908537331,-0.0120192307692308
"17",12.22,12.31,12.02,12.23,5731600,10.154439,2015-01-26,"TIMS3.SA",-0.00811001551653656,-0.00811030008110292
"18",12.1,12.17,11.72,12.14,3205900,10.07971,2015-01-27,"TIMS3.SA",-0.00735924456289505,-0.00735895339329518
"19",11.88,12.29,11.88,12.05,1733600,10.004987,2015-01-28,"TIMS3.SA",-0.00741320930860123,-0.0074135090609555
"20",11.93,12.23,11.87,12.23,2244200,10.154439,2015-01-29,"TIMS3.SA",0.0149377505438038,0.0149377593360995
"21",11.95,12.14,11.64,11.99,2992900,9.95517,2015-01-30,"TIMS3.SA",-0.0196238315085648,-0.0196238757154538
"22",11.93,12.15,11.73,12.15,1383400,10.088015,2015-02-02,"TIMS3.SA",0.0133443225982077,0.0133444537114262
"23",12.2,12.38,12.02,12.17,1740400,10.10462,2015-02-03,"TIMS3.SA",0.00164601261992581,0.00164609053497933
"24",12.15,12.31,11.77,12.16,1929000,10.096318,2015-02-04,"TIMS3.SA",-0.00082160437502854,-0.000821692686935105
"25",12.08,12.38,12,12.23,2099200,10.154439,2015-02-05,"TIMS3.SA",0.00575665306897033,0.00575657894736836
"26",12.01,12.4,11.87,12.18,1665300,10.112925,2015-02-06,"TIMS3.SA",-0.00408826130128892,-0.00408830744071964
"27",12.11,12.28,11.95,12.09,1822600,10.038199,2015-02-09,"TIMS3.SA",-0.00738915793402994,-0.00738916256157629
"28",12.17,12.25,11.97,12.14,1594800,10.07971,2015-02-10,"TIMS3.SA",0.00413530355395419,0.00413564929693977
"29",12.01,12.45,11.92,12.41,4912600,10.30389,2015-02-11,"TIMS3.SA",0.0222407192270413,0.0222405271828665
"30",12.45,12.64,12.22,12.43,2889800,10.320495,2015-02-12,"TIMS3.SA",0.00161152729697212,0.00161160354552781
"31",12.39,12.91,12.3,12.85,2072300,10.669218,2015-02-13,"TIMS3.SA",0.0337893676611443,0.0337892196299276
"32",12.83,13.04,12.73,12.83,3169500,10.652613,2015-02-18,"TIMS3.SA",-0.00155634649137359,-0.00155642023346303
"33",12.74,13.1,12.64,12.84,4677000,10.660914,2015-02-19,"TIMS3.SA",0.000779245430205577,0.000779423226812126
"34",12.85,12.85,12.37,12.38,2254600,10.278983,2015-02-20,"TIMS3.SA",-0.0358253523103178,-0.0358255451713395
"35",12.31,12.33,11.68,11.75,6377500,9.755898,2015-02-23,"TIMS3.SA",-0.0508887892897576,-0.0508885298869144
"36",11.75,11.94,11.56,11.81,2251000,9.805717,2015-02-24,"TIMS3.SA",0.00510655195452014,0.00510638297872346
"37",11.65,12.04,11.65,11.94,2921000,9.913652,2015-02-25,"TIMS3.SA",0.0110073541792,0.0110076206604572
"38",12.05,12.08,11.82,12.04,1496400,9.996681,2015-02-26,"TIMS3.SA",0.00837521833528143,0.00837520938023451
"39",11.96,12.27,11.89,11.93,2299100,9.905351,2015-02-27,"TIMS3.SA",-0.00913603224910353,-0.00913621262458464
"40",11.9,12.11,11.86,12.08,1776600,10.029895,2015-03-02,"TIMS3.SA",0.0125734060307403,0.0125733445096397
"41",11.97,12.1,11.8,11.95,1994800,9.921955,2015-03-03,"TIMS3.SA",-0.0107618275166389,-0.0107615894039735
"42",11.77,11.93,11.66,11.81,2513000,9.805717,2015-03-04,"TIMS3.SA",-0.0117152315244325,-0.011715481171548
"43",11.86,12.05,11.71,11.99,5586800,9.95517,2015-03-05,"TIMS3.SA",0.0152414147787461,0.0152413209144793
"44",11.95,12.03,11.53,11.55,1978500,9.589841,2015-03-06,"TIMS3.SA",-0.036697414509245,-0.036697247706422
"45",11.51,11.69,11.35,11.57,2496400,9.606447,2015-03-09,"TIMS3.SA",0.00173162412181793,0.00173160173160158
"46",11.4,11.61,11.29,11.55,2292400,9.589841,2015-03-10,"TIMS3.SA",-0.00172863078305641,-0.00172860847018141
"47",11.58,11.69,11.44,11.69,2001300,9.706079,2015-03-11,"TIMS3.SA",0.0121209517446641,0.012121212121212
"48",11.92,11.92,11.67,11.67,2131700,9.689476,2015-03-12,"TIMS3.SA",-0.00171057746387593,-0.00171086398631304
"49",11.29,11.92,11.27,11.85,4097700,9.838927,2015-03-13,"TIMS3.SA",0.0154240538910462,0.0154241645244215
"50",11.75,11.99,11.75,11.81,3071200,9.805717,2015-03-16,"TIMS3.SA",-0.00337536806605032,-0.00337552742616032
"51",11.99,12.21,11.94,11.97,3705400,9.93856,2015-03-17,"TIMS3.SA",0.013547504991221,0.0135478408128704
"52",11.95,12.3,11.86,12.29,3705100,10.204255,2015-03-18,"TIMS3.SA",0.0267337521733531,0.0267335004177107
