"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",21.700001,21.950001,21.059999,21.280001,5658400,14.68298,2015-01-02,"VALE3.SA",NA,NA
"2",20.76,21.129999,20.51,20.959999,8603000,14.462182,2015-01-05,"VALE3.SA",-0.0150376830861311,-0.0150376872632665
"3",21.07,22.129999,21.07,21.799999,9879900,15.041772,2015-01-06,"VALE3.SA",0.0400762485218344,0.0400763377899016
"4",22.32,22.809999,21.969999,22.6,6130900,15.593767,2015-01-07,"VALE3.SA",0.0366974715479,0.0366972952613438
"5",22.77,22.879999,22.110001,22.84,4667300,15.759362,2015-01-08,"VALE3.SA",0.0106193070603144,0.0106194690265486
"6",22.59,22.85,22.290001,22.35,3577300,15.421268,2015-01-09,"VALE3.SA",-0.0214535334615703,-0.0214535901926444
"7",22.110001,22.65,21.93,22.639999,4735200,15.621363,2015-01-12,"VALE3.SA",0.012975262475174,0.012975346756152
"8",22.700001,23.129999,22.51,22.51,6096400,15.53167,2015-01-13,"VALE3.SA",-0.00574168848134449,-0.00574200555397542
"9",21.799999,22,20.690001,20.700001,10902600,14.282785,2015-01-14,"VALE3.SA",-0.080408932201109,-0.080408662816526
"10",20.799999,21.26,20.450001,20.940001,5822800,14.448383,2015-01-15,"VALE3.SA",0.0115942373983784,0.0115942023384443
"11",21.049999,22.219999,20.85,21.879999,4004300,15.096973,2015-01-16,"VALE3.SA",0.0448901444542271,0.0448900647139416
"12",21.450001,21.68,21.299999,21.65,2139300,14.938276,2015-01-19,"VALE3.SA",-0.0105118423408455,-0.0105118377747642
"13",22.08,22.08,21.52,21.74,2060900,15.000376,2015-01-20,"VALE3.SA",0.00415710621493393,0.00415704387990767
"14",21.870001,22.280001,21.51,22.08,2841600,15.234971,2015-01-21,"VALE3.SA",0.0156392746421823,0.0156393744250229
"15",22.35,22.870001,21.76,21.91,4077500,15.117672,2015-01-22,"VALE3.SA",-0.00769932545326135,-0.00769927536231874
"16",22.35,22.870001,20.469999,20.52,7374000,14.158588,2015-01-23,"VALE3.SA",-0.0634412494198843,-0.0634413509812871
"17",20.01,20.110001,19.57,19.58,5010900,13.509997,2015-01-26,"VALE3.SA",-0.0458090171138534,-0.0458089668615985
"18",19.370001,19.540001,18.58,19,5926800,13.109802,2015-01-27,"VALE3.SA",-0.029622138332081,-0.0296220633299284
"19",18.719999,19.35,18.65,18.889999,4019900,13.033902,2015-01-28,"VALE3.SA",-0.00578956112380646,-0.00578952631578955
"20",19,19.209999,17.91,18.049999,8705800,12.454311,2015-01-29,"VALE3.SA",-0.0444679574850263,-0.044467974826256
"21",17.700001,18.68,17.65,18.610001,7360500,12.840707,2015-01-30,"VALE3.SA",0.0310250803918417,0.0310250432700856
"22",18.950001,19.82,18.65,19.74,6374000,13.620395,2015-02-02,"VALE3.SA",0.0607200211016419,0.0607199859903285
"23",20.34,21.219999,20.129999,20.870001,10130700,14.400082,2015-02-03,"VALE3.SA",0.0572440813941151,0.0572442249240122
"24",20.84,21.17,20.16,20.549999,7812700,14.179286,2015-02-04,"VALE3.SA",-0.0153329682428197,-0.0153331089921844
"25",20.559999,21.17,20.43,20.450001,4582200,14.110288,2015-02-05,"VALE3.SA",-0.00486611244035828,-0.0048660829618532
"26",20.209999,20.629999,19.959999,20.42,4462400,14.089589,2015-02-06,"VALE3.SA",-0.0014669438355901,-0.0014670414930541
"27",20.25,21.860001,20.209999,21.59,4581800,14.896876,2015-02-09,"VALE3.SA",0.0572967032608263,0.0572967678746326
"28",21.280001,21.610001,20.4,20.4,5708600,14.075789,2015-02-10,"VALE3.SA",-0.0551180663650553,-0.0551181102362205
"29",20.33,21.18,20.33,21.1,5888600,14.558781,2015-02-11,"VALE3.SA",0.0343136715107053,0.0343137254901962
"30",21.700001,21.870001,21.27,21.58,5681000,14.889976,2015-02-12,"VALE3.SA",0.0227488139288585,0.0227488151658766
"31",21.889999,22.700001,21.809999,22.48,7381400,15.510966,2015-02-13,"VALE3.SA",0.0417052384772143,0.0417052826691382
"32",22.700001,23,22.68,22.709999,5872100,15.669665,2015-02-18,"VALE3.SA",0.0102314066061391,0.0102312722419928
"33",22.879999,22.879999,22.02,22.1,4910700,15.24877,2015-02-19,"VALE3.SA",-0.026860497655821,-0.0268603710638647
"34",22.209999,22.709999,21.950001,22.620001,2589100,15.607566,2015-02-20,"VALE3.SA",0.0235295043469079,0.0235294570135745
"35",22.1,22.280001,21.379999,21.620001,5798700,14.917577,2015-02-23,"VALE3.SA",-0.0442086229204477,-0.0442086629439141
"36",21.65,22.290001,21.59,22.040001,7130600,15.20737,2015-02-24,"VALE3.SA",0.0194262781415506,0.0194264560857329
"37",21.83,22.26,21.799999,22.139999,4870400,15.276369,2015-02-25,"VALE3.SA",0.0045372079458843,0.00453711413170987
"38",21.870001,21.940001,20.879999,21.25,7354500,14.662279,2015-02-26,"VALE3.SA",-0.0401986885757997,-0.0401986919692272
"39",21.35,21.629999,21.110001,21.25,5026500,14.662279,2015-02-27,"VALE3.SA",0,0
"40",21.16,21.25,20.389999,20.559999,4685300,14.186185,2015-03-02,"VALE3.SA",-0.0324706684411066,-0.0324706352941175
"41",20.709999,21.120001,20.620001,20.790001,4441700,14.344885,2015-03-03,"VALE3.SA",0.0111869399701188,0.0111868682483884
"42",20.48,20.67,20.09,20.389999,6035800,14.068889,2015-03-04,"VALE3.SA",-0.0192400287628656,-0.019240114514665
"43",20.379999,20.379999,19.389999,19.5,7140400,13.454798,2015-03-05,"VALE3.SA",-0.0436488623941805,-0.0436488005712997
"44",19.450001,19.870001,19.07,19.59,7622600,13.516894,2015-03-06,"VALE3.SA",0.00461515661550616,0.00461538461538469
"45",19.43,19.77,19.15,19.540001,5393600,13.4824,2015-03-09,"VALE3.SA",-0.00255191762249529,-0.00255227156712612
