"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",5.923076,6.121153,5.875,5.923076,3116360,5.252498,2015-01-02,"WEGE3.SA",NA,NA
"2",5.963461,5.973076,5.85,5.963461,3908840,5.288309,2015-01-05,"WEGE3.SA",0.00681789883594441,0.00681824781583074
"3",5.936538,5.938461,5.730769,5.875,4307160,5.209863,2015-01-06,"WEGE3.SA",-0.0148338533168163,-0.0148338355864153
"4",5.867307,5.909615,5.76923,5.807692,1829880,5.150176,2015-01-07,"WEGE3.SA",-0.0114565392602455,-0.0114566808510638
"5",5.848076,5.94423,5.805769,5.905769,1586000,5.237149,2015-01-08,"WEGE3.SA",0.0168873840427977,0.0168874313582745
"6",5.882692,5.975,5.832692,5.878846,1813240,5.213273,2015-01-09,"WEGE3.SA",-0.00455896901157471,-0.0045587627961744
"7",5.865384,5.930769,5.825,5.846153,2717520,5.184281,2015-01-12,"WEGE3.SA",-0.00556118967872965,-0.00556112543175991
"8",5.863461,5.942307,5.832692,5.867307,1899040,5.203042,2015-01-13,"WEGE3.SA",0.00361882390248525,0.00361844789214372
"9",5.907692,6.06923,5.871153,5.961538,2895360,5.286603,2015-01-14,"WEGE3.SA",0.0160600279605663,0.0160603493220994
"10",5.990384,6.034615,5.936538,5.961538,3128320,5.286603,2015-01-15,"WEGE3.SA",0,0
"11",5.984615,6.009615,5.942307,5.961538,2713880,5.286603,2015-01-16,"WEGE3.SA",0,0
"12",5.980769,5.996153,5.926923,5.992307,2163720,5.313888,2015-01-19,"WEGE3.SA",0.00516115925481819,0.00516125201248396
"13",6.01923,6.09423,6.009615,6.067307,3791320,5.3804,2015-01-20,"WEGE3.SA",0.0125166356535928,0.0125160476591069
"14",6.059615,6.117307,5.980769,6.001923,3078400,5.322416,2015-01-21,"WEGE3.SA",-0.0107768939112334,-0.010776444969737
"15",6.026923,6.096153,5.982692,6.051923,3037320,5.366755,2015-01-22,"WEGE3.SA",0.00833061526945666,0.00833066335572785
"16",6.023076,6.153846,5.992307,6.123076,4569760,5.429852,2015-01-23,"WEGE3.SA",0.0117570114529171,0.0117570894408272
"17",6.115384,6.115384,5.971153,6.05,2490800,5.365051,2015-01-26,"WEGE3.SA",-0.011934211098203,-0.01193452441224
"18",6.030769,6.151923,6.009615,6.151923,3045640,5.455434,2015-01-27,"WEGE3.SA",0.0168466245707637,0.0168467768595042
"19",6.153846,6.25,6.075,6.211538,2005120,5.5083,2015-01-28,"WEGE3.SA",0.00969052141406168,0.00969046589172207
"20",6.182692,6.398076,6.182692,6.351923,3386240,5.632792,2015-01-29,"WEGE3.SA",0.0226008024254307,0.0226006827938587
