"","acoesDisponiveis"
"1","ABEV3.SA"
"2","B3SA3.SA"
"3","BBAS3.SA"
"4","BBDC3.SA"
"5","BBDC4.SA"
"6","BBSE3.SA"
"7","BEEF3.SA"
"8","BRAP4.SA"
"9","BRFS3.SA"
"10","BRKM5.SA"
"11","BRML3.SA"
"12","CCRO3.SA"
"13","CIEL3.SA"
"14","CMIG4.SA"
"15","COGN3.SA"
"16","CPFE3.SA"
"17","CPLE6.SA"
"18","CSAN3.SA"
"19","CSNA3.SA"
"20","CVCB3.SA"
"21","CYRE3.SA"
"22","ECOR3.SA"
"23","EGIE3.SA"
"24","ELET3.SA"
"25","ELET6.SA"
"26","EMBR3.SA"
"27","ENBR3.SA"
"28","ENEV3.SA"
"29","ENGI11.SA"
"30","EQTL3.SA"
"31","EZTC3.SA"
"32","FLRY3.SA"
"33","GGBR4.SA"
"34","GOAU4.SA"
"35","GOLL4.SA"
"36","HYPE3.SA"
"37","ITSA4.SA"
"38","ITUB4.SA"
"39","JBSS3.SA"
"40","JHSF3.SA"
"41","KLBN11.SA"
"42","LAME4.SA"
"43","LCAM3.SA"
"44","LREN3.SA"
"45","MGLU3.SA"
"46","MRFG3.SA"
"47","MRVE3.SA"
"48","MULT3.SA"
"49","PCAR3.SA"
"50","PETR3.SA"
"51","PETR4.SA"
"52","PRIO3.SA"
"53","QUAL3.SA"
"54","RADL3.SA"
"55","RAIL3.SA"
"56","RENT3.SA"
"57","SANB11.SA"
"58","SBSP3.SA"
"59","SULA11.SA"
"60","SUZB3.SA"
"61","TAEE11.SA"
"62","TIMS3.SA"
"63","TOTS3.SA"
"64","UGPA3.SA"
"65","USIM5.SA"
"66","VALE3.SA"
"67","VIVT3.SA"
"68","WEGE3.SA"
"69","YDUQ3.SA"
