iter	Passed	Remaining
0	138	27561
1	139	13807
2	140	9208
3	140	6906
4	141	5531
5	142	4614
6	143	3961
7	144	3466
8	145	3088
9	146	2785
10	147	2538
11	148	2329
12	149	2149
13	150	1998
14	151	1864
15	152	1748
16	153	1647
17	153	1554
18	154	1470
19	155	1395
20	156	1330
21	156	1268
22	157	1213
23	158	1162
24	159	1116
25	160	1072
26	161	1031
27	161	993
28	162	958
29	163	926
30	164	896
31	165	866
32	165	839
33	166	814
34	167	790
35	168	767
36	169	745
37	170	724
38	170	705
39	171	685
40	172	667
41	172	650
42	173	634
43	174	618
44	175	603
45	176	589
46	176	575
47	177	562
48	178	550
49	179	537
50	180	526
51	180	514
52	181	504
53	182	493
54	183	484
55	184	474
56	185	465
57	186	456
58	187	447
59	188	439
60	189	431
61	189	422
62	190	414
63	191	406
64	192	399
65	193	391
66	193	384
67	194	377
68	195	370
69	196	364
70	196	357
71	197	351
72	198	344
73	198	338
74	199	332
75	200	327
76	201	321
77	202	316
78	202	310
79	203	305
80	204	300
81	205	295
82	205	290
83	206	285
84	207	280
85	208	275
86	208	271
87	209	266
88	210	262
89	211	257
90	211	253
91	212	249
92	213	245
93	214	241
94	214	237
95	215	233
96	216	229
97	217	226
98	217	222
99	218	218
100	219	215
101	220	211
102	220	208
103	221	204
104	222	201
105	223	197
106	223	194
107	224	191
108	225	188
109	226	185
110	226	182
111	227	178
112	228	175
113	229	172
114	229	169
115	230	167
116	231	164
117	232	161
118	232	158
119	233	155
120	234	153
121	235	150
122	235	147
123	236	145
124	237	142
125	238	139
126	238	137
127	239	134
128	240	132
129	240	129
130	241	127
131	242	124
132	242	122
133	243	119
134	244	117
135	244	115
136	245	112
137	246	110
138	246	108
139	247	106
140	248	103
141	248	101
142	249	99
143	250	97
144	250	95
145	251	93
146	252	90
147	252	88
148	253	86
149	254	84
150	254	82
151	255	80
152	256	78
153	256	76
154	257	74
155	258	72
156	258	70
157	259	69
158	260	67
159	260	65
160	261	63
161	262	61
162	262	59
163	263	57
164	264	56
165	264	54
166	265	52
167	266	50
168	266	48
169	267	47
170	268	45
171	268	43
172	269	42
173	270	40
174	271	38
175	271	37
176	272	35
177	273	33
178	273	32
179	274	30
180	275	28
181	276	27
182	276	25
183	277	24
184	278	22
185	278	20
186	279	19
187	280	17
188	281	16
189	281	14
190	282	13
191	283	11
192	284	10
193	285	8
194	286	7
195	287	5
196	288	4
197	288	2
198	289	1
199	290	0
