"price.open","price.high","price.low","price.close","volume","price.adjusted","ret.adjusted.prices","price.highLow","price.hype"
3.27,3.27,3.15,3.17,21734100,2.461437,0,0.12,0
3.143333,3.153333,3.056666,3.083333,34790100,2.394141,-0.0273401269258569,0.0966670000000001,0.00999999999999979
3.066666,3.113333,3.033333,3.113333,49214700,2.417436,0.00973000337072882,0.0800000000000001,0.0466669999999998
3.133333,3.283333,3.126666,3.236666,24006600,2.513201,0.0396142855488213,0.156667,0.15
3.296666,3.3,3.19,3.193333,22967700,2.479554,-0.0133881054479925,0.11,0.00333399999999973
3.196666,3.216666,3.103333,3.11,17848800,2.414848,-0.0260958220712272,0.113333,0.02
3.1,3.123333,3.006666,3.02,37890600,2.344965,-0.0289388814534082,0.116667,0.023333
3.016666,3.126666,3.013333,3.026666,29477700,2.35014,0.00220685596586723,0.113333,0.11
3,3.093333,2.983333,3.086666,18569100,2.396729,0.0198239253831687,0.11,0.0933329999999999
3.07,3.176666,3.063333,3.073333,29427000,2.386378,-0.00431880283503061,0.113333,0.106666
3.09,3.183333,3.09,3.166666,21628200,2.458848,0.0303681981647501,0.0933330000000003,0.0933330000000003
3.143333,3.18,2.983333,2.993333,29226900,2.324258,-0.0547370150574579,0.196667,0.036667
3.06,3.113333,3.023333,3.053333,53613600,2.370847,0.0200446766236795,0.0899999999999999,0.0533329999999999
3.066666,3.2,3.023333,3.193333,40127400,2.479554,0.0458515458821256,0.176667,0.133334
3.216666,3.343333,3.213333,3.33,92274600,2.585672,0.0427972127245466,0.13,0.126667
3.33,3.33,3.233333,3.273333,24373200,2.541672,-0.01701685287229,0.0966670000000001,0
3.216666,3.263333,3.186666,3.233333,27995100,2.510613,-0.0122199087844537,0.0766669999999996,0.0466669999999998
3.226666,3.316666,3.163333,3.293333,31176900,2.557202,0.0185568225767969,0.153333,0.0900000000000003
3.25,3.273333,3.17,3.22,24946500,2.500261,-0.022266915167437,0.103333,0.023333
3.21,3.283333,3.166666,3.283333,29271000,2.549438,0.0196687465828567,0.116667,0.0733329999999999
3.216666,3.216666,3.03,3.066666,69632100,2.381199,-0.0659906222469422,0.186666,0
3.066666,3.12,3.036666,3.106666,25132200,2.412259,0.013043848918129,0.0833340000000002,0.053334
3.156666,3.22,3.113333,3.193333,38930100,2.479554,0.0278970873359783,0.106667,0.0633340000000002
3.216666,3.29,3.133333,3.25,37300200,2.523555,0.017745530042903,0.156667,0.073334
3.23,3.276666,3.2,3.226666,34461600,2.505437,-0.00717955423995109,0.0766659999999999,0.0466660000000001
3.176666,3.21,3.07,3.143333,34916700,2.44073,-0.0258266322402041,0.14,0.033334
3.143333,3.16,3.11,3.143333,23987400,2.44073,0,0.0500000000000003,0.016667
