iter	Passed	Remaining
0	29	2904
1	60	2957
2	91	2955
3	132	3176
4	168	3200
5	201	3152
6	233	3100
7	264	3044
8	295	2983
9	323	2909
10	356	2882
11	385	2825
12	416	2786
13	444	2731
14	471	2672
15	496	2604
16	522	2548
17	546	2491
18	571	2438
19	596	2387
20	622	2342
21	652	2312
22	680	2276
23	709	2247
24	736	2208
25	762	2169
26	788	2131
27	813	2090
28	838	2053
29	863	2014
30	890	1982
31	919	1954
32	953	1936
33	982	1906
34	1008	1873
35	1033	1838
36	1060	1805
37	1087	1773
38	1112	1739
39	1139	1708
40	1164	1675
41	1196	1652
42	1228	1628
43	1255	1597
44	1280	1564
45	1305	1532
46	1331	1501
47	1356	1469
48	1381	1438
49	1406	1406
50	1431	1375
51	1461	1349
52	1494	1324
53	1520	1295
54	1545	1264
55	1571	1234
56	1596	1204
57	1622	1174
58	1647	1145
59	1673	1115
60	1698	1085
61	1728	1059
62	1758	1032
63	1785	1004
64	1812	975
65	1837	946
66	1862	917
67	1887	888
68	1913	859
69	1937	830
70	1962	801
71	1993	775
72	2022	747
73	2048	719
74	2075	691
75	2102	663
76	2128	635
77	2153	607
78	2177	578
79	2202	550
80	2227	522
81	2258	495
82	2289	468
83	2316	441
84	2342	413
85	2369	385
86	2396	358
87	2421	330
88	2447	302
89	2471	274
90	2496	246
91	2524	219
92	2554	192
93	2584	164
94	2612	137
95	2638	109
96	2663	82
97	2687	54
98	2713	27
99	2737	0
